study,genome_id,contig,location,contig_edge,product,bgc_id,author,class,GCF_c0.3,GCF_c0.4,GCF_c0.5
Bickhart_et_al_2022,bin3c.108,contig_3920,[231438:253344],FALSE,ranthipeptide,contig_3920.region001,Bickhart,RiPP,10874,10874,10408
Bickhart_et_al_2022,bin3c.108,contig_3920,[360986:381253],FALSE,RRE-containing,contig_3920.region002,Bickhart,RiPP,10875,10875,10875
Bickhart_et_al_2022,bin3c.109,contig_4504,[817557:852803],FALSE,betalactone,contig_4504.region001,Bickhart,Other,10976,11001,11000
Bickhart_et_al_2022,bin3c.109,contig_45318,[46788:67601],FALSE,RRE-containing,contig_45318.region001,Bickhart,RiPP,10958,10802,10802
Bickhart_et_al_2022,bin3c.109,contig_61629,[106609:128219],FALSE,ranthipeptide,contig_61629.region001,Bickhart,RiPP,11033,11033,11033
Bickhart_et_al_2022,bin3c.110,contig_1199,[127516:147798],FALSE,RRE-containing,contig_1199.region001,Bickhart,RiPP,10356,10356,10356
Bickhart_et_al_2022,bin3c.111,contig_10944,[1313:48594],FALSE,NRPS,contig_10944.region001,Bickhart,NRPS,10332,10332,10332
Bickhart_et_al_2022,bin3c.111,contig_2929,[752507:773065],FALSE,cyclic-lactone-autoinducer,contig_2929.region001,Bickhart,RiPP,10700,10700,10700
Bickhart_et_al_2022,bin3c.111,contig_55702,[199071:209881],FALSE,RiPP-like,contig_55702.region001,Bickhart,RiPP,11004,11004,11004
Bickhart_et_al_2022,bin3c.113,contig_2124,[305380:327089],FALSE,ranthipeptide,contig_2124.region001,Bickhart,RiPP,10536,10536,10536
Bickhart_et_al_2022,bin3c.113,contig_243,[1227880:1251809],FALSE,betalactone,contig_243.region001,Bickhart,Other,10357,10357,10357
Bickhart_et_al_2022,bin3c.113,contig_243,[1598826:1619234],FALSE,RRE-containing,contig_243.region002,Bickhart,RiPP,10594,10594,10594
Bickhart_et_al_2022,bin3c.114,contig_2357,[0:19712],TRUE,betalactone,contig_2357.region001,Bickhart,Other,10577,10577,10577
Bickhart_et_al_2022,bin3c.114,contig_3270,[626896:656546],FALSE,betalactone,contig_3270.region001,Bickhart,Other,10977,10977,10722
Bickhart_et_al_2022,bin3c.114,contig_3540,[66697:86961],FALSE,RRE-containing,contig_3540.region001,Bickhart,RiPP,10813,10813,10813
Bickhart_et_al_2022,bin3c.115,contig_50409,[369004:416420],FALSE,NRPS,contig_50409.region001,Bickhart,NRPS,10989,10989,10989
Bickhart_et_al_2022,bin3c.115,contig_78329,[150030:174005],FALSE,betalactone,contig_78329.region001,Bickhart,Other,11137,11137,11137
Bickhart_et_al_2022,bin3c.117,contig_9471,[6798:28379],FALSE,ranthipeptide,contig_9471.region001,Bickhart,RiPP,11189,11189,11189
Bickhart_et_al_2022,bin3c.117,contig_9471,[363339:387257],FALSE,betalactone,contig_9471.region002,Bickhart,Other,11190,11190,11190
Bickhart_et_al_2022,bin3c.117,contig_996,[690368:711950],FALSE,ranthipeptide,contig_996.region001,Bickhart,RiPP,11211,11211,11211
Bickhart_et_al_2022,bin3c.118,contig_22347,[294118:314382],FALSE,RRE-containing,contig_22347.region001,Bickhart,RiPP,10552,10552,10552
Bickhart_et_al_2022,bin3c.118,contig_35894,[103818:125537],FALSE,ranthipeptide,contig_35894.region001,Bickhart,RiPP,10821,10821,10821
Bickhart_et_al_2022,bin3c.118,contig_9129,[336966:378880],FALSE,NRPS-like,contig_9129.region001,Bickhart,NRPS,11177,11177,11177
Bickhart_et_al_2022,bin3c.119,contig_4,[515417:537092],FALSE,ranthipeptide,contig_4.region001,Bickhart,RiPP,10889,10889,10889
Bickhart_et_al_2022,bin3c.120,contig_30414,[146445:185522],FALSE,arylpolyene,contig_30414.region001,Bickhart,Other,10716,10716,10716
Bickhart_et_al_2022,bin3c.120,contig_30414,[325790:364161],FALSE,arylpolyene,contig_30414.region002,Bickhart,Other,10717,10717,10717
Bickhart_et_al_2022,bin3c.120,contig_30414,[745163:785256],FALSE,arylpolyene,contig_30414.region003,Bickhart,Other,10718,10718,10718
Bickhart_et_al_2022,bin3c.120,contig_30414,[963581:1024102],FALSE,arylpolyene;NRPS,contig_30414.region004,Bickhart,Other,10719,10719,10719
Bickhart_et_al_2022,bin3c.120,contig_30414,[2846020:2887241],FALSE,arylpolyene,contig_30414.region005,Bickhart,Other,10720,10720,10720
Bickhart_et_al_2022,bin3c.120,contig_52351,[38956:61337],TRUE,NRPS,contig_52351.region001,Bickhart,NRPS,10995,10995,10995
Bickhart_et_al_2022,bin3c.121,contig_11323,[6560:64245],FALSE,ranthipeptide,contig_11323.region001,Bickhart,RiPP,10620,10620,10342
Bickhart_et_al_2022,bin3c.121,contig_1200,[25005:48934],FALSE,betalactone,contig_1200.region001,Bickhart,Other,10357,10357,10357
Bickhart_et_al_2022,bin3c.121,contig_1200,[494295:515885],FALSE,ranthipeptide,contig_1200.region002,Bickhart,RiPP,10358,10358,10358
Bickhart_et_al_2022,bin3c.121,contig_2525,[680767:711088],FALSE,RRE-containing,contig_2525.region001,Bickhart,RiPP,10620,10620,10342
Bickhart_et_al_2022,bin3c.121,contig_2525,[717438:738128],FALSE,cyclic-lactone-autoinducer,contig_2525.region002,Bickhart,RiPP,10621,10621,10621
Bickhart_et_al_2022,bin3c.121,contig_70743,[0:9238],TRUE,cyclic-lactone-autoinducer,contig_70743.region001,Bickhart,RiPP,11101,11101,11101
Bickhart_et_al_2022,bin3c.122,contig_16655,[0:19639],TRUE,RRE-containing,contig_16655.region001,Bickhart,RiPP,10461,10461,10461
Bickhart_et_al_2022,bin3c.122,scaffold_28942,[57187:87179],FALSE,betalactone,scaffold_28942.region001,Bickhart,Other,11743,11743,11743
Bickhart_et_al_2022,bin3c.123,contig_11106,[1816955:1840899],FALSE,betalactone,contig_11106.region001,Bickhart,Other,10336,10336,10336
Bickhart_et_al_2022,bin3c.123,contig_3419,[166575:188154],FALSE,ranthipeptide,contig_3419.region001,Bickhart,RiPP,10795,10795,10795
Bickhart_et_al_2022,bin3c.124,contig_14882,[352289:371687],FALSE,RRE-containing,contig_14882.region001,Bickhart,RiPP,10415,10415,10415
Bickhart_et_al_2022,bin3c.124,contig_14882,[442672:470859],FALSE,lassopeptide,contig_14882.region002,Bickhart,RiPP,10416,10416,10416
Bickhart_et_al_2022,bin3c.124,contig_1748,[866:21127],FALSE,RRE-containing,contig_1748.region001,Bickhart,RiPP,10475,10475,10475
Bickhart_et_al_2022,bin3c.124,contig_50599,[781017:802612],FALSE,ranthipeptide,contig_50599.region001,Bickhart,RiPP,10992,10992,10992
Bickhart_et_al_2022,bin3c.125,contig_3183,[266965:283357],FALSE,RRE-containing,contig_3183.region001,Bickhart,RiPP,10740,10740,10740
Bickhart_et_al_2022,bin3c.125,contig_3183,[594561:614822],FALSE,RRE-containing,contig_3183.region002,Bickhart,RiPP,10741,10741,10741
Bickhart_et_al_2022,bin3c.126,contig_2248,[57141:78542],FALSE,ranthipeptide,contig_2248.region001,Bickhart,RiPP,10556,10556,10556
Bickhart_et_al_2022,bin3c.126,contig_37264,[356287:376863],FALSE,cyclic-lactone-autoinducer,contig_37264.region001,Bickhart,RiPP,10849,10849,10849
Bickhart_et_al_2022,bin3c.127,contig_8397,[269255:310477],FALSE,arylpolyene,contig_8397.region001,Bickhart,Other,10374,10329,10329
Bickhart_et_al_2022,bin3c.128,contig_866,[357269:399750],FALSE,NRPS-like,contig_866.region001,Bickhart,NRPS,11164,11164,11164
Bickhart_et_al_2022,bin3c.129,scaffold_40027,[671863:692679],FALSE,ranthipeptide,scaffold_40027.region001,Bickhart,RiPP,11744,11744,11744
Bickhart_et_al_2022,bin3c.13,contig_22766,[210390:257734],FALSE,NRPS,contig_22766.region001,Bickhart,NRPS,10560,10560,10560
Bickhart_et_al_2022,bin3c.13,contig_22766,[934257:953254],FALSE,RRE-containing,contig_22766.region002,Bickhart,RiPP,10561,10561,10561
Bickhart_et_al_2022,bin3c.13,contig_22766,[1132885:1160926],FALSE,betalactone;ranthipeptide,contig_22766.region003,Bickhart,Other,10562,10562,10562
Bickhart_et_al_2022,bin3c.13,contig_652,[1509205:1528660],FALSE,ranthipeptide,contig_652.region001,Bickhart,RiPP,11056,11056,11056
Bickhart_et_al_2022,bin3c.13,contig_652,[1628254:1647033],FALSE,cyclic-lactone-autoinducer,contig_652.region002,Bickhart,RiPP,11057,11057,11057
Bickhart_et_al_2022,bin3c.13,contig_652,[1733832:1754530],FALSE,cyclic-lactone-autoinducer,contig_652.region003,Bickhart,RiPP,11058,11058,11058
Bickhart_et_al_2022,bin3c.13,contig_652,[2236477:2273696],FALSE,ranthipeptide,contig_652.region004,Bickhart,RiPP,11059,11059,11059
Bickhart_et_al_2022,bin3c.13,contig_652,[2466193:2487794],FALSE,ranthipeptide,contig_652.region005,Bickhart,RiPP,11060,11060,11060
Bickhart_et_al_2022,bin3c.13,contig_652,[2848291:2880230],FALSE,betalactone,contig_652.region006,Bickhart,Other,11061,11061,11061
Bickhart_et_al_2022,bin3c.13,contig_652,[4063531:4106774],FALSE,NRPS-like,contig_652.region007,Bickhart,NRPS,11062,11062,11062
Bickhart_et_al_2022,bin3c.130,contig_63702,[159714:179990],FALSE,RRE-containing,contig_63702.region001,Bickhart,RiPP,11045,11045,11045
Bickhart_et_al_2022,bin3c.130,contig_73838,[57123:80992],FALSE,betalactone,contig_73838.region001,Bickhart,Other,11113,11113,11113
Bickhart_et_al_2022,bin3c.130,scaffold_50397,[28862:49453],FALSE,cyclic-lactone-autoinducer,scaffold_50397.region001,Bickhart,RiPP,11745,11745,11745
Bickhart_et_al_2022,bin3c.133,contig_2624,[343900:364170],FALSE,RRE-containing,contig_2624.region001,Bickhart,RiPP,10639,10639,10639
Bickhart_et_al_2022,bin3c.134,contig_20075,[47356:67626],FALSE,RRE-containing,contig_20075.region001,Bickhart,RiPP,10515,10515,10515
Bickhart_et_al_2022,bin3c.134,contig_35726,[509109:530727],FALSE,ranthipeptide,contig_35726.region001,Bickhart,RiPP,10818,10818,10818
Bickhart_et_al_2022,bin3c.134,contig_35732,[4130:14791],TRUE,cyclic-lactone-autoinducer,contig_35732.region001,Bickhart,RiPP,10819,10819,10819
Bickhart_et_al_2022,bin3c.134,contig_35735,[0:22588],TRUE,NRPS-like,contig_35735.region001,Bickhart,NRPS,10820,10820,10820
Bickhart_et_al_2022,bin3c.134,scaffold_20088,[61730:82000],FALSE,RRE-containing,scaffold_20088.region001,Bickhart,RiPP,11740,11740,11740
Bickhart_et_al_2022,bin3c.135,contig_2643,[534719:553151],FALSE,RRE-containing,contig_2643.region001,Bickhart,RiPP,10641,10641,10641
Bickhart_et_al_2022,bin3c.135,contig_2643,[720289:744140],FALSE,betalactone,contig_2643.region002,Bickhart,Other,10642,10642,10642
Bickhart_et_al_2022,bin3c.135,contig_2643,[1201252:1222915],FALSE,ranthipeptide,contig_2643.region003,Bickhart,RiPP,10643,10643,10643
Bickhart_et_al_2022,bin3c.137,contig_16153,[558958:580599],FALSE,ranthipeptide,contig_16153.region001,Bickhart,RiPP,10444,10444,10444
Bickhart_et_al_2022,bin3c.137,contig_21641,[91062:111323],FALSE,RRE-containing,contig_21641.region001,Bickhart,RiPP,10403,10403,10403
Bickhart_et_al_2022,bin3c.137,contig_37817,[46604:66871],FALSE,RRE-containing,contig_37817.region001,Bickhart,RiPP,10858,10858,10858
Bickhart_et_al_2022,bin3c.139,contig_75032,[27502:58407],FALSE,betalactone,contig_75032.region001,Bickhart,Other,11121,11121,11121
Bickhart_et_al_2022,bin3c.14,contig_33302,[13494:34055],FALSE,cyclic-lactone-autoinducer,contig_33302.region001,Bickhart,RiPP,10781,10781,10781
Bickhart_et_al_2022,bin3c.14,contig_48094,[60407:78016],TRUE,betalactone,contig_48094.region001,Bickhart,Other,10974,10974,10974
Bickhart_et_al_2022,bin3c.14,contig_56736,[39321:60042],FALSE,cyclic-lactone-autoinducer,contig_56736.region001,Bickhart,RiPP,11006,11006,11006
Bickhart_et_al_2022,bin3c.14,contig_6860,[14226:34808],FALSE,cyclic-lactone-autoinducer,contig_6860.region001,Bickhart,RiPP,11085,11085,11085
Bickhart_et_al_2022,bin3c.14,contig_9959,[231089:252696],FALSE,ranthipeptide,contig_9959.region001,Bickhart,RiPP,11210,11210,11210
Bickhart_et_al_2022,bin3c.140,contig_2110,[317399:349071],FALSE,cyclic-lactone-autoinducer;RRE-containing,contig_2110.region001,Bickhart,RiPP,10531,10531,10531
Bickhart_et_al_2022,bin3c.140,contig_2110,[465124:484367],FALSE,ranthipeptide,contig_2110.region002,Bickhart,RiPP,10532,10532,10532
Bickhart_et_al_2022,bin3c.140,contig_2110,[879781:897074],FALSE,cyclic-lactone-autoinducer,contig_2110.region003,Bickhart,RiPP,10533,10533,10533
Bickhart_et_al_2022,bin3c.140,contig_2110,[972914:993070],FALSE,ranthipeptide,contig_2110.region004,Bickhart,RiPP,10534,10534,10534
Bickhart_et_al_2022,bin3c.140,contig_2110,[1267671:1288043],FALSE,cyclic-lactone-autoinducer,contig_2110.region005,Bickhart,RiPP,10535,10535,10535
Bickhart_et_al_2022,bin3c.141,contig_14114,[154041:209077],FALSE,arylpolyene,contig_14114.region001,Bickhart,Other,10399,10399,10399
Bickhart_et_al_2022,bin3c.141,contig_24933,[1022397:1045833],FALSE,betalactone,contig_24933.region001,Bickhart,Other,10611,10611,10687
Bickhart_et_al_2022,bin3c.142,contig_2919,[379147:400547],FALSE,ranthipeptide,contig_2919.region001,Bickhart,RiPP,10695,10695,10695
Bickhart_et_al_2022,bin3c.143,contig_3316,[1514200:1538117],FALSE,betalactone,contig_3316.region001,Bickhart,Other,10777,10777,10777
Bickhart_et_al_2022,bin3c.143,contig_3316,[1814285:1861626],FALSE,NRPS,contig_3316.region002,Bickhart,NRPS,10778,10778,10778
Bickhart_et_al_2022,bin3c.143,contig_3316,[2945322:2966911],FALSE,ranthipeptide,contig_3316.region003,Bickhart,RiPP,10779,10779,10779
Bickhart_et_al_2022,bin3c.144,contig_2101,[1170637:1218137],FALSE,arylpolyene,contig_2101.region001,Bickhart,Other,11088,11088,11088
Bickhart_et_al_2022,bin3c.144,contig_2101,[1411933:1432206],FALSE,RRE-containing,contig_2101.region002,Bickhart,RiPP,10530,10530,11087
Bickhart_et_al_2022,bin3c.144,contig_23852,[348120:368390],FALSE,RRE-containing,contig_23852.region001,Bickhart,RiPP,10957,10580,10580
Bickhart_et_al_2022,bin3c.145,contig_32522,[2163439:2173829],FALSE,ectoine,contig_32522.region001,Bickhart,Other,10761,10761,2441
Bickhart_et_al_2022,bin3c.145,contig_32524,[543123:566204],FALSE,lanthipeptide-class-ii,contig_32524.region001,Bickhart,RiPP,10762,10762,10762
Bickhart_et_al_2022,bin3c.146,contig_1416,[358242:378806],FALSE,cyclic-lactone-autoinducer,contig_1416.region001,Bickhart,RiPP,10400,10400,10400
Bickhart_et_al_2022,bin3c.146,contig_1416,[1387796:1409419],FALSE,ranthipeptide,contig_1416.region002,Bickhart,RiPP,10984,10984,10984
Bickhart_et_al_2022,bin3c.147,contig_12574,[1985:23587],FALSE,ranthipeptide,contig_12574.region001,Bickhart,RiPP,10372,10736,10736
Bickhart_et_al_2022,bin3c.147,contig_2342,[550389:570662],FALSE,RRE-containing,contig_2342.region001,Bickhart,RiPP,10521,10521,10521
Bickhart_et_al_2022,bin3c.148,contig_1264,[184036:217974],FALSE,betalactone,contig_1264.region001,Bickhart,Other,10373,10373,10373
Bickhart_et_al_2022,bin3c.148,contig_19741,[781734:803358],FALSE,ranthipeptide,contig_19741.region001,Bickhart,RiPP,10509,10509,10509
Bickhart_et_al_2022,bin3c.149,contig_31953,[225491:246055],FALSE,cyclic-lactone-autoinducer,contig_31953.region001,Bickhart,RiPP,10744,10744,10744
Bickhart_et_al_2022,bin3c.149,contig_49501,[87366:108993],FALSE,ranthipeptide,contig_49501.region001,Bickhart,RiPP,10984,10984,10984
Bickhart_et_al_2022,bin3c.150,contig_12263,[371815:392382],FALSE,cyclic-lactone-autoinducer,contig_12263.region001,Bickhart,RiPP,10362,10362,10362
Bickhart_et_al_2022,bin3c.150,contig_12263,[410637:432245],FALSE,ranthipeptide,contig_12263.region002,Bickhart,RiPP,10363,10363,10363
Bickhart_et_al_2022,bin3c.150,contig_12263,[745550:772198],FALSE,betalactone,contig_12263.region003,Bickhart,Other,10364,11197,10364
Bickhart_et_al_2022,bin3c.151,contig_2840,[957353:979011],FALSE,ranthipeptide,contig_2840.region001,Bickhart,RiPP,10785,10785,10681
Bickhart_et_al_2022,bin3c.151,contig_2840,[1087348:1134704],FALSE,NRPS,contig_2840.region002,Bickhart,NRPS,10682,10682,10682
Bickhart_et_al_2022,bin3c.151,contig_2840,[2253353:2287499],FALSE,RRE-containing;sactipeptide,contig_2840.region003,Bickhart,RiPP,10683,10683,10683
Bickhart_et_al_2022,bin3c.152,contig_1656,[14572:36903],FALSE,lassopeptide,contig_1656.region001,Bickhart,RiPP,10455,10455,10455
Bickhart_et_al_2022,bin3c.152,contig_1656,[326858:349273],FALSE,betalactone,contig_1656.region002,Bickhart,Other,10456,10456,10456
Bickhart_et_al_2022,bin3c.152,contig_1656,[731779:753406],FALSE,ranthipeptide,contig_1656.region003,Bickhart,RiPP,10457,10457,10457
Bickhart_et_al_2022,bin3c.152,contig_1656,[852149:875396],FALSE,betalactone,contig_1656.region004,Bickhart,Other,10458,10458,10458
Bickhart_et_al_2022,bin3c.153,contig_816,[1009801:1030368],FALSE,cyclic-lactone-autoinducer,contig_816.region001,Bickhart,RiPP,11147,11147,11147
Bickhart_et_al_2022,bin3c.154,contig_1795,[746189:770206],FALSE,betalactone,contig_1795.region001,Bickhart,Other,10479,10479,10479
Bickhart_et_al_2022,bin3c.154,contig_33253,[57435:100897],FALSE,NRPS,contig_33253.region001,Bickhart,NRPS,10780,10780,10780
Bickhart_et_al_2022,bin3c.155,contig_1271,[1338765:1379986],FALSE,arylpolyene,contig_1271.region001,Bickhart,Other,10374,10329,10329
Bickhart_et_al_2022,bin3c.157,contig_26601,[127316:158922],FALSE,betalactone,contig_26601.region001,Bickhart,Other,10647,10647,10647
Bickhart_et_al_2022,bin3c.157,contig_37807,[22459:67659],TRUE,arylpolyene,contig_37807.region001,Bickhart,Other,10857,10857,10857
Bickhart_et_al_2022,bin3c.158,contig_3212,[567623:598168],FALSE,betalactone,contig_3212.region001,Bickhart,Other,10746,10746,10746
Bickhart_et_al_2022,bin3c.159,contig_2887,[24:30717],FALSE,arylpolyene,contig_2887.region001,Bickhart,Other,10688,10329,10329
Bickhart_et_al_2022,bin3c.159,contig_2887,[1048635:1092567],FALSE,arylpolyene,contig_2887.region002,Bickhart,Other,10689,10689,10689
Bickhart_et_al_2022,bin3c.16,contig_73435,[295771:336938],FALSE,arylpolyene,contig_73435.region001,Bickhart,Other,11107,11107,11107
Bickhart_et_al_2022,bin3c.16,contig_9205,[437403:476637],FALSE,arylpolyene,contig_9205.region001,Bickhart,Other,11179,11179,11179
Bickhart_et_al_2022,bin3c.16,contig_9205,[873818:913074],FALSE,arylpolyene,contig_9205.region002,Bickhart,Other,11180,11180,11180
Bickhart_et_al_2022,bin3c.16,contig_9205,[2179976:2212546],TRUE,arylpolyene,contig_9205.region003,Bickhart,Other,11181,11181,11181
Bickhart_et_al_2022,bin3c.160,contig_11858,[230937:266489],TRUE,NRPS-like,contig_11858.region001,Bickhart,NRPS,10355,10355,10355
Bickhart_et_al_2022,bin3c.160,contig_45043,[0:34008],TRUE,NRPS,contig_45043.region001,Bickhart,NRPS,10951,10951,10951
Bickhart_et_al_2022,bin3c.160,contig_45044,[0:10285],TRUE,NRPS,contig_45044.region001,Bickhart,NRPS,10952,10952,10952
Bickhart_et_al_2022,bin3c.160,contig_6968,[179993:200683],FALSE,RRE-containing,contig_6968.region001,Bickhart,RiPP,11091,11091,11091
Bickhart_et_al_2022,bin3c.161,contig_37165,[64606:86225],FALSE,ranthipeptide,contig_37165.region001,Bickhart,RiPP,10846,10846,10846
Bickhart_et_al_2022,bin3c.162,contig_19230,[160811:182190],FALSE,ranthipeptide,contig_19230.region001,Bickhart,RiPP,10501,10501,10501
Bickhart_et_al_2022,bin3c.162,contig_19230,[497611:517926],FALSE,RRE-containing,contig_19230.region002,Bickhart,RiPP,10502,10502,10502
Bickhart_et_al_2022,bin3c.162,contig_27256,[22863:45072],FALSE,ranthipeptide,contig_27256.region001,Bickhart,RiPP,10666,10666,10666
Bickhart_et_al_2022,bin3c.163,contig_1463,[302153:349452],FALSE,NRPS,contig_1463.region001,Bickhart,NRPS,10411,10411,10411
Bickhart_et_al_2022,bin3c.163,contig_30291,[155088:175385],FALSE,RRE-containing,contig_30291.region001,Bickhart,RiPP,10715,10715,10715
Bickhart_et_al_2022,bin3c.163,contig_3619,[34646:64664],FALSE,RRE-containing,contig_3619.region001,Bickhart,RiPP,10831,10831,10831
Bickhart_et_al_2022,bin3c.163,contig_49631,[39261:59843],FALSE,cyclic-lactone-autoinducer,contig_49631.region001,Bickhart,RiPP,10985,10985,10985
Bickhart_et_al_2022,bin3c.163,contig_49631,[70308:91994],FALSE,ranthipeptide,contig_49631.region002,Bickhart,RiPP,10986,10986,10431
Bickhart_et_al_2022,bin3c.164,contig_16294,[365905:395538],FALSE,betalactone,contig_16294.region001,Bickhart,Other,10977,10977,11743
Bickhart_et_al_2022,bin3c.165,contig_1454,[480090:500483],TRUE,terpene,contig_1454.region001,Bickhart,Terpene,10410,11752,10756
Bickhart_et_al_2022,bin3c.166,contig_2235,[130594:148143],FALSE,RRE-containing,contig_2235.region001,Bickhart,RiPP,10553,10553,10553
Bickhart_et_al_2022,bin3c.166,contig_2235,[248313:269692],FALSE,ranthipeptide,contig_2235.region002,Bickhart,RiPP,10554,10554,10554
Bickhart_et_al_2022,bin3c.166,contig_2235,[1970783:1981599],FALSE,RiPP-like,contig_2235.region003,Bickhart,RiPP,10555,10555,10555
Bickhart_et_al_2022,bin3c.167,contig_48499,[215369:247461],FALSE,betalactone,contig_48499.region001,Bickhart,Other,10976,11000,11000
Bickhart_et_al_2022,bin3c.169,contig_2214,[221572:241860],FALSE,RRE-containing,contig_2214.region001,Bickhart,RiPP,10542,10542,10542
Bickhart_et_al_2022,bin3c.169,contig_36320,[69487:91143],FALSE,ranthipeptide,contig_36320.region001,Bickhart,RiPP,10832,10832,10832
Bickhart_et_al_2022,bin3c.17,contig_5043,[130100:177607],FALSE,arylpolyene,contig_5043.region001,Bickhart,Other,10991,10991,6635
Bickhart_et_al_2022,bin3c.170,contig_2323,[430735:447747],FALSE,RRE-containing,contig_2323.region001,Bickhart,RiPP,10567,10567,10567
Bickhart_et_al_2022,bin3c.170,contig_2323,[937837:959433],FALSE,ranthipeptide,contig_2323.region002,Bickhart,RiPP,10568,10568,10568
Bickhart_et_al_2022,bin3c.170,contig_30448,[10961:49135],FALSE,betalactone,contig_30448.region001,Bickhart,Other,10618,10618,10722
Bickhart_et_al_2022,bin3c.170,contig_30448,[256784:277048],FALSE,RRE-containing,contig_30448.region002,Bickhart,RiPP,10723,10723,10723
Bickhart_et_al_2022,bin3c.171,contig_6605,[463864:485509],FALSE,ranthipeptide,contig_6605.region001,Bickhart,RiPP,11069,11069,11069
Bickhart_et_al_2022,bin3c.173,contig_2898,[311008:332625],FALSE,ranthipeptide,contig_2898.region001,Bickhart,RiPP,10690,10690,10690
Bickhart_et_al_2022,bin3c.173,contig_2898,[448115:468385],FALSE,RRE-containing,contig_2898.region002,Bickhart,RiPP,10691,10691,10691
Bickhart_et_al_2022,bin3c.173,contig_9144,[1119676:1153545],FALSE,RRE-containing,contig_9144.region001,Bickhart,RiPP,11178,11178,11178
Bickhart_et_al_2022,bin3c.174,contig_4555,[259845:288213],FALSE,betalactone,contig_4555.region001,Bickhart,Other,10960,10960,10960
Bickhart_et_al_2022,bin3c.174,contig_4555,[971811:991769],FALSE,terpene,contig_4555.region002,Bickhart,Terpene,10961,10961,10961
Bickhart_et_al_2022,bin3c.174,contig_4555,[1984443:2005331],FALSE,terpene,contig_4555.region003,Bickhart,Terpene,10962,10962,10962
Bickhart_et_al_2022,bin3c.176,contig_1543,[19043:40648],FALSE,ranthipeptide,contig_1543.region001,Bickhart,RiPP,10427,10427,10427
Bickhart_et_al_2022,bin3c.176,contig_2855,[631814:655717],FALSE,betalactone,contig_2855.region001,Bickhart,Other,10684,10684,10684
Bickhart_et_al_2022,bin3c.177,contig_4169,[1232313:1252439],FALSE,cyclic-lactone-autoinducer,contig_4169.region001,Bickhart,RiPP,10915,10915,10915
Bickhart_et_al_2022,bin3c.177,contig_59957,[95099:115858],FALSE,cyclic-lactone-autoinducer,contig_59957.region001,Bickhart,RiPP,11025,11025,11199
