study,genome_id,contig,complete,type,iterative,contig_edge,product,bgc_id,location_start,location_end,author
Bickhart_et_al_2022,bin3c.134,contig_35735,FALSE,nrps,FALSE,TRUE,NRPS-like,contig_35735.region001,15225,16605,Bickhart
Bickhart_et_al_2022,bin3c.134,contig_35735,FALSE,nrps,FALSE,TRUE,NRPS-like,contig_35735.region001,17330,18623,Bickhart
Bickhart_et_al_2022,bin3c.135,contig_2643,FALSE,pks,FALSE,FALSE,RRE-containing,contig_2643.region001,552362,552818,Bickhart
Bickhart_et_al_2022,bin3c.135,contig_2643,FALSE,nrps,FALSE,FALSE,betalactone,contig_2643.region002,730598,731894,Bickhart
Bickhart_et_al_2022,bin3c.139,contig_75032,FALSE,nrps,FALSE,FALSE,betalactone,contig_75032.region001,46520,47930,Bickhart
Bickhart_et_al_2022,bin3c.14,contig_48094,FALSE,nrps,FALSE,TRUE,betalactone,contig_48094.region001,72692,73994,Bickhart
Bickhart_et_al_2022,bin3c.14,contig_6860,FALSE,unknown,FALSE,FALSE,cyclic-lactone-autoinducer,contig_6860.region001,22491,22692,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,pks,TRUE,FALSE,arylpolyene,contig_14114.region001,174782,175730,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_14114.region001,176009,176207,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,pks,TRUE,FALSE,arylpolyene,contig_14114.region001,178681,179296,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,nrps,FALSE,FALSE,arylpolyene,contig_14114.region001,185922,186630,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_14114.region001,187590,187755,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,pks,TRUE,FALSE,arylpolyene,contig_14114.region001,187865,188828,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,pks,TRUE,FALSE,arylpolyene,contig_14114.region001,195210,196275,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_14114,FALSE,pks,FALSE,FALSE,arylpolyene,contig_14114.region001,196317,196836,Bickhart
Bickhart_et_al_2022,bin3c.141,contig_24933,FALSE,nrps,FALSE,FALSE,betalactone,contig_24933.region001,1034960,1035767,Bickhart
Bickhart_et_al_2022,bin3c.142,contig_2919,FALSE,nrps,FALSE,FALSE,ranthipeptide,contig_2919.region001,381749,382382,Bickhart
Bickhart_et_al_2022,bin3c.143,contig_3316,FALSE,nrps,FALSE,FALSE,betalactone,contig_3316.region001,1524545,1525847,Bickhart
Bickhart_et_al_2022,bin3c.143,contig_3316,TRUE,nrps,FALSE,FALSE,NRPS,contig_3316.region002,1834336,1837339,Bickhart
Bickhart_et_al_2022,bin3c.143,contig_3316,TRUE,nrps,FALSE,FALSE,NRPS,contig_3316.region002,1837390,1840360,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,nrps,FALSE,FALSE,arylpolyene,contig_2101.region001,1179154,1179805,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2101.region001,1190652,1191579,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_2101.region001,1191850,1192060,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2101.region001,1192665,1193382,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_2101.region001,1196661,1196832,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2101.region001,1196919,1197951,Bickhart
Bickhart_et_al_2022,bin3c.144,contig_2101,FALSE,pks,FALSE,FALSE,arylpolyene,contig_2101.region001,1198395,1198875,Bickhart
Bickhart_et_al_2022,bin3c.148,contig_1264,FALSE,nrps,FALSE,FALSE,betalactone,contig_1264.region001,194774,196031,Bickhart
Bickhart_et_al_2022,bin3c.148,contig_1264,FALSE,nrps,FALSE,FALSE,betalactone,contig_1264.region001,197637,198663,Bickhart
Bickhart_et_al_2022,bin3c.148,contig_1264,FALSE,nrps,FALSE,FALSE,betalactone,contig_1264.region001,206348,207644,Bickhart
Bickhart_et_al_2022,bin3c.150,contig_12263,FALSE,nrps,FALSE,FALSE,betalactone,contig_12263.region003,755832,757077,Bickhart
Bickhart_et_al_2022,bin3c.150,contig_12263,FALSE,nrps,FALSE,FALSE,betalactone,contig_12263.region003,758605,759907,Bickhart
Bickhart_et_al_2022,bin3c.151,contig_2840,TRUE,nrps,FALSE,FALSE,NRPS,contig_2840.region002,1107387,1110423,Bickhart
Bickhart_et_al_2022,bin3c.151,contig_2840,TRUE,nrps,FALSE,FALSE,NRPS,contig_2840.region002,1110489,1113531,Bickhart
Bickhart_et_al_2022,bin3c.151,contig_2840,FALSE,nrps,FALSE,FALSE,NRPS,contig_2840.region002,1118198,1119428,Bickhart
Bickhart_et_al_2022,bin3c.151,contig_2840,FALSE,unknown,FALSE,FALSE,NRPS,contig_2840.region002,1119770,1119965,Bickhart
Bickhart_et_al_2022,bin3c.152,contig_1656,FALSE,nrps,FALSE,FALSE,lassopeptide,contig_1656.region001,338692,339988,Bickhart
Bickhart_et_al_2022,bin3c.152,contig_1656,FALSE,nrps,FALSE,FALSE,betalactone,contig_1656.region002,338692,339988,Bickhart
Bickhart_et_al_2022,bin3c.152,contig_1656,FALSE,nrps,FALSE,FALSE,betalactone,contig_1656.region004,864034,865282,Bickhart
Bickhart_et_al_2022,bin3c.154,contig_1795,FALSE,nrps,FALSE,FALSE,betalactone,contig_1795.region001,757237,757852,Bickhart
Bickhart_et_al_2022,bin3c.155,contig_1271,FALSE,pks,FALSE,FALSE,arylpolyene,contig_1271.region001,1352457,1352979,Bickhart
Bickhart_et_al_2022,bin3c.155,contig_1271,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_1271.region001,1358335,1358536,Bickhart
Bickhart_et_al_2022,bin3c.155,contig_1271,FALSE,pks,TRUE,FALSE,arylpolyene,contig_1271.region001,1358774,1359785,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_26601,FALSE,nrps,FALSE,FALSE,betalactone,contig_26601.region001,148040,148478,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,nrps,FALSE,TRUE,arylpolyene,contig_37807.region001,30716,31721,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,unknown,FALSE,TRUE,arylpolyene,contig_37807.region001,31783,31969,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,pks,TRUE,TRUE,arylpolyene,contig_37807.region001,43053,44001,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,unknown,FALSE,TRUE,arylpolyene,contig_37807.region001,44277,44490,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,unknown,FALSE,TRUE,arylpolyene,contig_37807.region001,47965,48166,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,pks,TRUE,TRUE,arylpolyene,contig_37807.region001,50528,51521,Bickhart
Bickhart_et_al_2022,bin3c.157,contig_37807,FALSE,pks,FALSE,TRUE,arylpolyene,contig_37807.region001,51972,52488,Bickhart
Bickhart_et_al_2022,bin3c.158,contig_3212,FALSE,nrps,FALSE,FALSE,betalactone,contig_3212.region001,586764,587943,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2887.region001,9789,10770,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2887.region002,9789,10770,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_2887.region002,1067539,1067728,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2887.region002,1069553,1070255,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_2887.region002,1070901,1071057,Bickhart
Bickhart_et_al_2022,bin3c.159,contig_2887,FALSE,pks,TRUE,FALSE,arylpolyene,contig_2887.region002,1071799,1072552,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_73435,FALSE,nrps,FALSE,FALSE,arylpolyene,contig_73435.region001,312523,313612,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_73435,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_73435.region001,314903,315101,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_73435,FALSE,pks,TRUE,FALSE,arylpolyene,contig_73435.region001,315786,316725,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,pks,TRUE,FALSE,arylpolyene,contig_9205.region001,456715,457756,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,pks,TRUE,FALSE,arylpolyene,contig_9205.region002,893559,894534,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,pks,FALSE,FALSE,arylpolyene,contig_9205.region002,896443,896965,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,unknown,FALSE,TRUE,arylpolyene,contig_9205.region003,2191718,2191907,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,nrps,FALSE,TRUE,arylpolyene,contig_9205.region003,2192952,2193612,Bickhart
Bickhart_et_al_2022,bin3c.16,contig_9205,FALSE,pks,FALSE,TRUE,arylpolyene,contig_9205.region003,2200345,2201068,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_11858,FALSE,nrps,FALSE,TRUE,NRPS-like,contig_11858.region001,251246,252494,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_11858,FALSE,unknown,FALSE,TRUE,NRPS-like,contig_11858.region001,252641,252827,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_45043,FALSE,unknown,FALSE,TRUE,NRPS,contig_45043.region001,18586,19222,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_45043,TRUE,nrps,FALSE,TRUE,NRPS,contig_45043.region001,19388,24431,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_45043,FALSE,pks,FALSE,TRUE,NRPS,contig_45043.region001,24551,28931,Bickhart
Bickhart_et_al_2022,bin3c.160,contig_45043,FALSE,pks,FALSE,TRUE,NRPS,contig_45043.region001,29712,30477,Bickhart
Bickhart_et_al_2022,bin3c.163,contig_1463,TRUE,nrps,FALSE,FALSE,NRPS,contig_1463.region001,322171,325147,Bickhart
Bickhart_et_al_2022,bin3c.163,contig_1463,TRUE,nrps,FALSE,FALSE,NRPS,contig_1463.region001,325198,328225,Bickhart
Bickhart_et_al_2022,bin3c.163,contig_1463,FALSE,nrps,FALSE,FALSE,NRPS,contig_1463.region001,341205,341838,Bickhart
Bickhart_et_al_2022,bin3c.163,contig_1463,FALSE,nrps,FALSE,FALSE,NRPS,contig_1463.region001,342032,342746,Bickhart
Bickhart_et_al_2022,bin3c.164,contig_16294,FALSE,nrps,FALSE,FALSE,betalactone,contig_16294.region001,376187,377417,Bickhart
Bickhart_et_al_2022,bin3c.164,contig_16294,FALSE,nrps,FALSE,FALSE,betalactone,contig_16294.region001,378846,380085,Bickhart
Bickhart_et_al_2022,bin3c.164,contig_16294,FALSE,nrps,FALSE,FALSE,betalactone,contig_16294.region001,383897,385199,Bickhart
Bickhart_et_al_2022,bin3c.165,contig_1454,FALSE,pks,FALSE,TRUE,terpene,contig_1454.region001,481452,481920,Bickhart
Bickhart_et_al_2022,bin3c.167,contig_48499,FALSE,nrps,FALSE,FALSE,betalactone,contig_48499.region001,225699,226995,Bickhart
Bickhart_et_al_2022,bin3c.167,contig_48499,FALSE,nrps,FALSE,FALSE,betalactone,contig_48499.region001,235940,237179,Bickhart
Bickhart_et_al_2022,bin3c.169,contig_36320,FALSE,nrps,FALSE,FALSE,ranthipeptide,contig_36320.region001,87554,88724,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,pks,TRUE,FALSE,arylpolyene,contig_5043.region001,150115,150901,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_5043.region001,151308,151497,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,pks,TRUE,FALSE,arylpolyene,contig_5043.region001,152147,152900,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,unknown,FALSE,FALSE,arylpolyene,contig_5043.region001,156137,156338,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,pks,TRUE,FALSE,arylpolyene,contig_5043.region001,156395,157376,Bickhart
Bickhart_et_al_2022,bin3c.17,contig_5043,FALSE,pks,FALSE,FALSE,arylpolyene,contig_5043.region001,157833,158334,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,betalactone,contig_30448.region001,21114,22284,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,betalactone,contig_30448.region001,26751,27369,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,RRE-containing,contig_30448.region002,26751,27369,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,betalactone,contig_30448.region001,29881,31183,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,betalactone,contig_30448.region001,34993,36232,Bickhart
Bickhart_et_al_2022,bin3c.170,contig_30448,FALSE,nrps,FALSE,FALSE,betalactone,contig_30448.region001,37620,38853,Bickhart
Bickhart_et_al_2022,bin3c.173,contig_2898,FALSE,pks,FALSE,FALSE,RRE-containing,contig_2898.region002,452390,452774,Bickhart
Bickhart_et_al_2022,bin3c.173,contig_9144,FALSE,pks,FALSE,FALSE,RRE-containing,contig_9144.region001,1147712,1148012,Bickhart
Bickhart_et_al_2022,bin3c.174,contig_4555,FALSE,nrps,FALSE,FALSE,betalactone,contig_4555.region001,270499,271705,Bickhart
Bickhart_et_al_2022,bin3c.174,contig_4555,FALSE,pks,FALSE,FALSE,terpene,contig_4555.region002,978334,978793,Bickhart
Bickhart_et_al_2022,bin3c.176,contig_2855,FALSE,nrps,FALSE,FALSE,betalactone,contig_2855.region001,642129,643425,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,FALSE,pks,FALSE,TRUE,hglE-KS,contig_6467.region001,11715,12438,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,FALSE,pks,FALSE,TRUE,hglE-KS,contig_6467.region001,13645,14326,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,FALSE,unknown,FALSE,TRUE,hglE-KS,contig_6467.region001,15327,15534,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,FALSE,unknown,FALSE,TRUE,hglE-KS,contig_6467.region001,15639,15846,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,TRUE,pks,FALSE,TRUE,hglE-KS,contig_6467.region001,15942,19479,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_6467,FALSE,nrps,FALSE,TRUE,hglE-KS,contig_6467.region001,32409,33714,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_861,FALSE,nrps,FALSE,FALSE,betalactone,contig_861.region001,1537240,1537888,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_861,FALSE,nrps,FALSE,FALSE,betalactone,contig_861.region001,1546479,1547709,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_861,FALSE,nrps,FALSE,FALSE,betalactone,contig_861.region001,1549172,1550411,Bickhart
Bickhart_et_al_2022,bin3c.180,contig_861,FALSE,nrps,FALSE,FALSE,betalactone,contig_861.region001,1554187,1555489,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,FALSE,unknown,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,217452,218106,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,FALSE,nrps,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,218259,220794,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,FALSE,pks,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,221565,224595,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,FALSE,pks,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,229777,230626,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,TRUE,pks,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,231082,234154,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,FALSE,unknown,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,237869,238064,Bickhart
Bickhart_et_al_2022,bin3c.181,contig_26625,TRUE,nrps,FALSE,FALSE,NRPS NRPS-like transAT-PKS,contig_26625.region001,238291,240091,Bickhart
