bgc_id,GCF,genome_id,contig,start,end,product,contig_edge,class
CABVRS010000060.region001,2029,GCA_902500745.1,CABVRS010000060,0,13844,terpene,TRUE,Terpene
CABVRV010000001.region001,2132,GCA_902500755.1,CABVRV010000001,86119,113762,betalactone,TRUE,Others
CABVRV010000004.region001,2520;2029,GCA_902500755.1,CABVRV010000004,19650,40511,terpene,FALSE,Terpene
CABVRV010000013.region001,2428;2042,GCA_902500755.1,CABVRV010000013,20930,55932,phosphonate,TRUE,Others
CABVRV010000017.region001,2422,GCA_902500755.1,CABVRV010000017,21312,42080,hserlactone,FALSE,Others
CABVRV010000020.region001,2046,GCA_902500755.1,CABVRV010000020,28719,40570,RiPP-like,FALSE,RiPPs
CABVRV010000023.region001,2007,GCA_902500755.1,CABVRV010000023,17181,39362,terpene,FALSE,Terpene
CABVRV010000024.region001,2559,GCA_902500755.1,CABVRV010000024,3684,24737,terpene,FALSE,Terpene
CABVRV010000031.region001,2009,GCA_902500755.1,CABVRV010000031,0,20764,redox-cofactor,TRUE,Others
CABVRV010000034.region001,2010;2129;2167,GCA_902500755.1,CABVRV010000034,0,24019,NRPS,TRUE,NRPS
CABVRV010000039.region001,2035,GCA_902500755.1,CABVRV010000039,0,9132,RiPP-like,TRUE,RiPPs
CABVRV010000071.region001,2012,GCA_902500755.1,CABVRV010000071,2249,18243,RRE-containing,TRUE,RiPPs
CABVRV010000138.region001,2013,GCA_902500755.1,CABVRV010000138,0,6110,RRE-containing,TRUE,RiPPs
CABVRV010000145.region001,2014;2601,GCA_902500755.1,CABVRV010000145,0,5723,NRPS-like,TRUE,NRPS
CABVRW010000001.region001,2547,GCA_902500785.1,CABVRW010000001,22905,34765,RiPP-like,FALSE,RiPPs
CABVRW010000002.region001,2016;3491;2808,GCA_902500785.1,CABVRW010000002,33759,74944,arylpolyene,FALSE,Others
CABVRW010000006.region001,2558,GCA_902500785.1,CABVRW010000006,36723,63632,betalactone,FALSE,Others
CABVRW010000010.region001,2532,GCA_902500785.1,CABVRW010000010,9406,58820,NRPS,FALSE,NRPS
CABVRW010000011.region001,2550,GCA_902500785.1,CABVRW010000011,45774,66719,terpene,FALSE,Terpene
CABVRW010000017.region001,2559,GCA_902500785.1,CABVRW010000017,31746,52706,terpene,FALSE,Terpene
CABVRW010000020.region001,2553,GCA_902500785.1,CABVRW010000020,0,20356,terpene,TRUE,Terpene
CABVRW010000060.region001,2549,GCA_902500785.1,CABVRW010000060,0,17725,RRE-containing,TRUE,RiPPs
CABVRW010000067.region001,2023;2554;2537,GCA_902500785.1,CABVRW010000067,0,20167,phosphonate,TRUE,Others
CABVRX010000001.region001,2559,GCA_902500825.1,CABVRX010000001,128965,150018,terpene,FALSE,Terpene
CABVRX010000002.region001,2044,GCA_902500825.1,CABVRX010000002,121209,143393,terpene,FALSE,Terpene
CABVRX010000002.region002,2558,GCA_902500825.1,CABVRX010000002,191157,219037,betalactone,FALSE,Others
CABVRX010000005.region001,2027;2047,GCA_902500825.1,CABVRX010000005,91730,140967,NRPS,FALSE,NRPS
CABVRX010000006.region001,3154;2028,GCA_902500825.1,CABVRX010000006,70838,112518,phosphonate,FALSE,Others
CABVRX010000011.region001,2029,GCA_902500825.1,CABVRX010000011,36525,57386,terpene,FALSE,Terpene
CABVRX010000012.region001,2043,GCA_902500825.1,CABVRX010000012,31795,52575,hserlactone,FALSE,Others
CABVRX010000018.region001,3158;2737,GCA_902500825.1,CABVRX010000018,11456,31768,RRE-containing,FALSE,RiPPs
CABVRX010000020.region001,2035,GCA_902500825.1,CABVRX010000020,49973,61476,RiPP-like,FALSE,RiPPs
CABVRZ010000001.region001,2044,GCA_902500775.1,CABVRZ010000001,23094,45278,terpene,FALSE,Terpene
CABVRZ010000002.region001,2043,GCA_902500775.1,CABVRZ010000002,82343,103066,hserlactone,FALSE,Others
CABVRZ010000004.region001,2035,GCA_902500775.1,CABVRZ010000004,111976,123491,RiPP-like,FALSE,RiPPs
CABVRZ010000010.region001,2550,GCA_902500775.1,CABVRZ010000010,15221,36082,terpene,FALSE,Terpene
CABVRZ010000022.region001,2559,GCA_902500775.1,CABVRZ010000022,47581,68353,terpene,TRUE,Terpene
CABVRZ010000038.region001,2073,GCA_902500775.1,CABVRZ010000038,22899,43238,RRE-containing,FALSE,RiPPs
CABVRZ010000040.region001,2428;2042,GCA_902500775.1,CABVRZ010000040,0,40467,phosphonate,TRUE,Others
CABVRZ010000051.region001,2040;2046,GCA_902500775.1,CABVRZ010000051,20338,29089,RiPP-like,TRUE,RiPPs
CABVRZ010000067.region001,2041,GCA_902500775.1,CABVRZ010000067,0,12116,NRPS-like,TRUE,NRPS
CABVSA010000002.region001,2428;2042,GCA_902500805.1,CABVSA010000002,70017,111652,phosphonate,FALSE,Others
CABVSA010000003.region001,2043,GCA_902500805.1,CABVSA010000003,25808,46531,hserlactone,FALSE,Others
CABVSA010000006.region001,2044,GCA_902500805.1,CABVSA010000006,33847,56031,terpene,FALSE,Terpene
CABVSA010000020.region001,2045,GCA_902500805.1,CABVSA010000020,24551,35397,RiPP-like,FALSE,RiPPs
CABVSA010000025.region001,2046,GCA_902500805.1,CABVSA010000025,29196,41047,RiPP-like,FALSE,RiPPs
CABVSA010000034.region001,2047,GCA_902500805.1,CABVSA010000034,0,36638,NRPS,TRUE,NRPS
CABVSA010000050.region001,2520;1949,GCA_902500805.1,CABVSA010000050,16321,28518,terpene,TRUE,Terpene
CABVSA010000110.region001,2519,GCA_902500805.1,CABVSA010000110,0,11005,terpene,TRUE,Terpene
CABVSB010000012.region001,1990,GCA_902500795.1,CABVSB010000012,24871,45578,terpene,TRUE,Terpene
CABVSB010000017.region001,2422,GCA_902500795.1,CABVSB010000017,8542,29298,hserlactone,FALSE,Others
CABVSB010000020.region001,2052,GCA_902500795.1,CABVSB010000020,0,39905,lassopeptide;NRPS,TRUE,Others
CABVSB010000025.region001,2007,GCA_902500795.1,CABVSB010000025,11143,33330,terpene,FALSE,Terpene
CABVSB010000026.region001,2070,GCA_902500795.1,CABVSB010000026,0,35494,T1PKS,TRUE,PKSI
CABVSB010000032.region001,3157,GCA_902500795.1,CABVSB010000032,16116,27619,RiPP-like,FALSE,RiPPs
CABVSB010000048.region001,2056,GCA_902500795.1,CABVSB010000048,0,20677,NRPS,TRUE,NRPS
CABVSB010000052.region001,1983;2028,GCA_902500795.1,CABVSB010000052,0,19365,phosphonate,TRUE,Others
CABVSB010000077.region001,2058;2167,GCA_902500795.1,CABVSB010000077,0,12490,NRPS-like,TRUE,NRPS
CABVSB010000142.region001,2519,GCA_902500795.1,CABVSB010000142,0,5880,terpene,TRUE,Terpene
CABVSR010000001.region001,2547,GCA_902500995.1,CABVSR010000001,288049,299912,RiPP-like,FALSE,RiPPs
CABVSR010000002.region001,2532,GCA_902500995.1,CABVSR010000002,136923,186286,NRPS,FALSE,NRPS
CABVSR010000002.region002,2558,GCA_902500995.1,CABVSR010000002,242345,269260,betalactone,FALSE,Others
CABVSR010000004.region001,2476;2063,GCA_902500995.1,CABVSR010000004,187239,221602,arylpolyene,TRUE,Others
CABVSR010000005.region001,2023;2264;3543,GCA_902500995.1,CABVSR010000005,113296,154931,phosphonate,FALSE,Others
CABVSR010000010.region001,3538,GCA_902500995.1,CABVSR010000010,0,85624,NRPS;T1PKS,TRUE,PKS-NRP_Hybrids
CABVSR010000012.region001,2511,GCA_902500995.1,CABVSR010000012,73694,95866,terpene,FALSE,Terpene
CABVSR010000014.region001,3553,GCA_902500995.1,CABVSR010000014,36385,57261,terpene,FALSE,Terpene
CABVSR010000015.region001,2559,GCA_902500995.1,CABVSR010000015,68565,89498,terpene,FALSE,Terpene
CABVSR010000023.region001,2557,GCA_902500995.1,CABVSR010000023,11908,23423,RiPP-like,FALSE,RiPPs
CABVST010000003.region001,2070,GCA_902501035.1,CABVST010000003,0,32185,T1PKS,TRUE,PKSI
CABVST010000014.region001,3349,GCA_902501035.1,CABVST010000014,16235,28086,RiPP-like,FALSE,RiPPs
CABVST010000017.region001,2526,GCA_902501035.1,CABVST010000017,0,19321,hserlactone,TRUE,Others
CABVST010000042.region001,2073,GCA_902501035.1,CABVST010000042,0,16712,RRE-containing,TRUE,RiPPs
CABVST010000046.region001,2132,GCA_902501035.1,CABVST010000046,2849,21285,betalactone,TRUE,Others
CABVST010000050.region001,2523,GCA_902501035.1,CABVST010000050,3914,14760,RiPP-like,FALSE,RiPPs
CABVST010000057.region001,2428;2042,GCA_902501035.1,CABVST010000057,0,19962,phosphonate,TRUE,Others
CABVST010000100.region001,2519,GCA_902501035.1,CABVST010000100,131,14335,terpene,TRUE,Terpene
CABVST010000136.region001,2007,GCA_902501035.1,CABVST010000136,0,10942,terpene,TRUE,Terpene
CABVST010000314.region001,3241,GCA_902501035.1,CABVST010000314,0,4257,RiPP-like,TRUE,RiPPs
CAIJNL010000002.region001,2096,GCA_903822005.1,CAIJNL010000002,104035,159931,arylpolyene,FALSE,Others
CAIJNL010000002.region002,2092,GCA_903822005.1,CAIJNL010000002,197562,240187,NRPS-like,FALSE,NRPS
CAIJNL010000011.region001,2085;2097,GCA_903822005.1,CAIJNL010000011,39621,87280,T1PKS,FALSE,PKSI
CAIJNL010000019.region001,2087,GCA_903822005.1,CAIJNL010000019,0,20811,ranthipeptide,TRUE,RiPPs
CAIJNL010000036.region001,2094;2099,GCA_903822005.1,CAIJNL010000036,30022,52041,terpene,FALSE,Terpene
CAIJSA010000083.region001,2085;2097,GCA_903823195.1,CAIJSA010000083,578,30209,T1PKS,TRUE,PKSI
CAIJSA010000108.region001,2094;2099,GCA_903823195.1,CAIJSA010000108,1241,22308,terpene,TRUE,Terpene
CAIJSA010000140.region001,2087,GCA_903823195.1,CAIJSA010000140,0,20769,ranthipeptide,TRUE,RiPPs
CAIJSA010000158.region001,2092,GCA_903823195.1,CAIJSA010000158,0,11309,NRPS-like,TRUE,NRPS
CAIJSA010000244.region001,2098,GCA_903823195.1,CAIJSA010000244,0,17796,arylpolyene,TRUE,Others
CAIJSA010000253.region001,2096,GCA_903823195.1,CAIJSA010000253,0,23729,arylpolyene,TRUE,Others
CAIMQD010000021.region001,2085;2097,GCA_903843525.1,CAIMQD010000021,39621,87280,T1PKS,FALSE,PKSI
CAIMQD010000027.region001,2092,GCA_903843525.1,CAIMQD010000027,92818,135443,NRPS-like,FALSE,NRPS
CAIMQD010000028.region001,2087,GCA_903843525.1,CAIMQD010000028,676,22028,ranthipeptide,FALSE,RiPPs
CAIMQD010000042.region001,2094;2099,GCA_903843525.1,CAIMQD010000042,109318,131337,terpene,FALSE,Terpene
CAIMQD010000049.region001,2096,GCA_903843525.1,CAIMQD010000049,6950,62846,arylpolyene,FALSE,Others
CAIYLL010000050.region001,2096,GCA_903926985.1,CAIYLL010000050,0,10787,arylpolyene,TRUE,Others
CAIYLL010000316.region001,2085;2097,GCA_903926985.1,CAIYLL010000316,0,47366,T1PKS,TRUE,PKSI
CAIYLL010000405.region001,2098,GCA_903926985.1,CAIYLL010000405,0,15646,arylpolyene,TRUE,Others
CAIYLL010000421.region001,2094;2099,GCA_903926985.1,CAIYLL010000421,0,13631,terpene,TRUE,Terpene
CAIYLL010000429.region001,2087,GCA_903926985.1,CAIYLL010000429,0,15245,ranthipeptide,TRUE,RiPPs
CP047423.1.region001,2101,GCA_014058405.1,CP047423.1,194286,237109,NRPS-like,FALSE,NRPS
CP047423.1.region002,3157,GCA_014058405.1,CP047423.1,384300,394510,RiPP-like,FALSE,RiPPs
CP047423.1.region003,3241,GCA_014058405.1,CP047423.1,486341,498192,RiPP-like,FALSE,RiPPs
CP047423.1.region004,2428,GCA_014058405.1,CP047423.1,1179025,1220660,phosphonate,FALSE,Others
CP047423.1.region005,2105,GCA_014058405.1,CP047423.1,2248158,2270303,redox-cofactor,FALSE,Others
CP047423.1.region006,2519,GCA_014058405.1,CP047423.1,2407690,2427812,terpene,FALSE,Terpene
CP047423.1.region007,1990;3354,GCA_014058405.1,CP047423.1,2751354,2770245,terpene,FALSE,Terpene
CP047423.1.region008,2012,GCA_014058405.1,CP047423.1,3022364,3042706,RRE-containing,FALSE,RiPPs
CP047423.1.region009,2007,GCA_014058405.1,CP047423.1,3160864,3183045,terpene,FALSE,Terpene
CP047423.1.region010,2422,GCA_014058405.1,CP047423.1,3440024,3460741,hserlactone,FALSE,Others
DBNR01000016.1.region001,2151,GCA_002299405.1,DBNR01000016.1,0,6441,NRPS-like,TRUE,NRPS
DBNR01000029.1.region001,2558,GCA_002299405.1,DBNR01000029.1,0,10863,betalactone,TRUE,Others
DBNR01000077.1.region001,2113,GCA_002299405.1,DBNR01000077.1,0,11783,NRPS,TRUE,NRPS
DBNR01000096.1.region001,2114;3550,GCA_002299405.1,DBNR01000096.1,0,10270,NRPS,TRUE,NRPS
DBNR01000103.1.region001,2559,GCA_002299405.1,DBNR01000103.1,13759,34692,terpene,FALSE,Terpene
DBNR01000105.1.region001,2553,GCA_002299405.1,DBNR01000105.1,0,6424,terpene,TRUE,Terpene
DBNR01000157.1.region001,2117,GCA_002299405.1,DBNR01000157.1,0,5589,NRPS,TRUE,NRPS
DBNR01000277.1.region001,2023;2554;2537,GCA_002299405.1,DBNR01000277.1,0,14029,phosphonate,TRUE,Others
DBNR01000287.1.region001,2550,GCA_002299405.1,DBNR01000287.1,0,6532,terpene,TRUE,Terpene
DBNR01000355.1.region001,2549,GCA_002299405.1,DBNR01000355.1,0,10786,RRE-containing,TRUE,RiPPs
DBNT01000092.1.region001,2121,GCA_002299835.1,DBNT01000092.1,0,31730,NRPS-like,TRUE,NRPS
DCVG01000055.1.region001,2122,GCA_002328665.1,DCVG01000055.1,0,19422,NRPS-like,TRUE,NRPS
DCVG01000102.1.region001,2123,GCA_002328665.1,DCVG01000102.1,0,10554,RRE-containing,TRUE,RiPPs
DCWI01000097.1.region001,2910,GCA_002328825.1,DCWI01000097.1,0,19827,terpene,TRUE,Terpene
DCWI01000113.1.region001,2125;2359,GCA_002328825.1,DCWI01000113.1,0,16611,terpene,TRUE,Terpene
DCZN01000014.1.region001,3373,GCA_002331625.1,DCZN01000014.1,0,19475,terpene,TRUE,Terpene
DCZN01000028.1.region001,2519,GCA_002331625.1,DCZN01000028.1,6171,27233,terpene,FALSE,Terpene
DCZN01000077.1.region001,2046,GCA_002331625.1,DCZN01000077.1,85880,97731,RiPP-like,FALSE,RiPPs
DCZN01000080.1.region001,2129;2167,GCA_002331625.1,DCZN01000080.1,83643,127558,NRPS,FALSE,NRPS
DCZN01000083.1.region001,2428;2042,GCA_002331625.1,DCZN01000083.1,0,32831,phosphonate,TRUE,Others
DCZN01000107.1.region001,3158;2013,GCA_002331625.1,DCZN01000107.1,18952,39264,RRE-containing,FALSE,RiPPs
DCZN01000110.1.region001,2132,GCA_002331625.1,DCZN01000110.1,65465,83984,betalactone,TRUE,Others
DCZN01000124.1.region001,2520;1949,GCA_002331625.1,DCZN01000124.1,0,12340,terpene,TRUE,Terpene
DCZN01000134.1.region001,2043,GCA_002331625.1,DCZN01000134.1,57439,78162,hserlactone,FALSE,Others
DCZN01000137.1.region001,2135;2597,GCA_002331625.1,DCZN01000137.1,0,16075,RRE-containing,TRUE,RiPPs
DCZO01000013.1.region001,2977;3337,GCA_002331335.1,DCZO01000013.1,6255,27311,terpene,FALSE,Terpene
DCZO01000013.1.region002,2137,GCA_002331335.1,DCZO01000013.1,66609,112696,NRPS,FALSE,NRPS
DCZO01000016.1.region001,3373,GCA_002331335.1,DCZO01000016.1,98331,120506,terpene,FALSE,Terpene
DCZO01000018.1.region001,2520;1949,GCA_002331335.1,DCZO01000018.1,118648,139500,terpene,FALSE,Terpene
DCZO01000019.1.region001,2046,GCA_002331335.1,DCZO01000019.1,9328,19187,RiPP-like,FALSE,RiPPs
DCZO01000019.1.region002,2035,GCA_002331335.1,DCZO01000019.1,128178,139672,RiPP-like,FALSE,RiPPs
DCZO01000029.1.region001,2142,GCA_002331335.1,DCZO01000029.1,39191,63881,NRPS-like,TRUE,NRPS
DCZO01000035.1.region001,2143;2430,GCA_002331335.1,DCZO01000035.1,33822,75040,arylpolyene,FALSE,Others
DCZO01000035.1.region002,3154;2028,GCA_002331335.1,DCZO01000035.1,150463,192143,phosphonate,FALSE,Others
DCZO01000035.1.region003,2145;2422,GCA_002331335.1,DCZO01000035.1,194654,215410,hserlactone,FALSE,Others
DFNL01000023.1.region001,2150,GCA_002376445.1,DFNL01000023.1,2500,24931,NRPS-like,TRUE,NRPS
DFNL01000060.1.region001,2149,GCA_002376445.1,DFNL01000060.1,0,16222,hserlactone,TRUE,Others
DFNR01000030.1.region001,2727,GCA_002376155.1,DFNR01000030.1,0,16988,ranthipeptide,TRUE,RiPPs
DFNR01000078.1.region001,2149,GCA_002376155.1,DFNR01000078.1,10412,31030,hserlactone,FALSE,Others
DFNR01000091.1.region001,2150,GCA_002376155.1,DFNR01000091.1,0,5629,NRPS-like,TRUE,NRPS
DFWR01000011.1.region001,2151,GCA_002380995.1,DFWR01000011.1,0,7830,NRPS-like,TRUE,NRPS
DFWR01000014.1.region001,2152;3550,GCA_002380995.1,DFWR01000014.1,0,15084,NRPS,TRUE,NRPS
DFWR01000031.1.region001,2547,GCA_002380995.1,DFWR01000031.1,1739,13023,RiPP-like,FALSE,RiPPs
DFWR01000130.1.region001,2549,GCA_002380995.1,DFWR01000130.1,0,18919,RRE-containing,TRUE,RiPPs
