genome_id,bgc_id,contig,contig_edge,start,end,product,class,GCF_c0.3,GCF_c0.4,GCF_c0.5
GCA_016699305.1,CP064970.1.region004,CP064970,FALSE,1530469,1551363,CDPS,Others,1929,1929,1929
GCA_016699405.1,CP064972.1.region001,CP064972,FALSE,893930,934992,T3PKS,PKSother,1930,1930,1930
GCA_016699405.1,CP064972.1.region002,CP064972,FALSE,2696384,2745036,T1PKS,PKSI,1931,1931,1931
GCA_016699405.1,CP064972.1.region003,CP064972,FALSE,2940698,2983181,arylpolyene;ladderane,Others,1932,1932,1932
GCA_016699405.1,CP064972.1.region004,CP064972,FALSE,4929186,4948235,ranthipeptide,RiPPs,1933,1933,1933
GCA_016699405.1,CP064972.1.region005,CP064972,FALSE,4960176,4981716,ranthipeptide,RiPPs,1934,1934,1934
GCA_016699445.1,CP064976.1.region001,CP064976,FALSE,85377,106673,terpene,Terpene,1935,1935,1935
GCA_016699445.1,CP064976.1.region002,CP064976,FALSE,1240725,1251661,RiPP-like,RiPPs,1936,1936,1936
GCA_016699445.1,CP064976.1.region003,CP064976,FALSE,2439186,2461178,terpene,Terpene,1937,1937,1937
GCA_016699535.1,CP064980.1.region001,CP064980,FALSE,541085,561635,ranthipeptide,RiPPs,1944,1944,1944
GCA_016699535.1,CP064980.1.region002,CP064980,FALSE,1118469,1184106,phosphonate;RiPP-like;T3PKS,Others,1945,1945,1945
GCA_016699535.1,CP064980.1.region003,CP064980,FALSE,1395817,1437059,ladderane,Others,1946,1946,2239
GCA_016699535.1,CP064980.1.region004,CP064980,FALSE,1739451,1759156,ranthipeptide,RiPPs,1947,1947,1947
GCA_016699535.1,CP064980.1.region005,CP064980,FALSE,2377469,2398827,ranthipeptide,RiPPs,1948,1948,1948
GCA_016699535.1,CP064980.1.region006,CP064980,FALSE,3306905,3326844,RRE-containing,RiPPs,1949,1949,1949
GCA_016699535.1,CP064980.1.region007,CP064980,FALSE,3816117,3830922,"NAGGN",Others,1950,1950,1950
GCA_016699535.1,CP064980.1.region008,CP064980,FALSE,3853191,3873458,RRE-containing,RiPPs,1951,1951,1951
GCA_016699575.1,CP064979.1.region001,CP064979,FALSE,679898,721673,arylpolyene,Others,1938,1938,2548
GCA_016699575.1,CP064979.1.region002,CP064979,FALSE,909489,951920,NRPS-like,NRPS,1939,1939,1939
GCA_016699575.1,CP064979.1.region003,CP064979,FALSE,1021264,1071745,NRPS;T1PKS,PKS-NRP_Hybrids,1940,1940,4467
GCA_016699575.1,CP064979.1.region004,CP064979,FALSE,2956844,2977483,hserlactone,Others,1941,1941,1941
GCA_016699575.1,CP064979.1.region005,CP064979,FALSE,3149415,3170258,terpene,Terpene,1942,5415,5415
GCA_016699575.1,CP064979.1.region006,CP064979,FALSE,4123782,4169656,arylpolyene;resorcinol,Others,1943,2042,2042
GCA_016699615.1,CP064984.1.region001,CP064984,FALSE,645142,700046,T1PKS,PKSI,1957,1957,1957
GCA_016699635.1,CP064983.1.region001,CP064983,FALSE,244230,288202,NRPS,NRPS,1952,1952,1952
GCA_016699635.1,CP064983.1.region002,CP064983,FALSE,505970,550080,NRPS-like;T1PKS,PKS-NRP_Hybrids,1953,1953,1953
GCA_016699635.1,CP064983.1.region003,CP064983,FALSE,2097318,2137770,arylpolyene,Others,1954,1954,1954
GCA_016699635.1,CP064983.1.region004,CP064983,FALSE,2665347,2711290,arylpolyene;resorcinol,Others,1955,1955,1955
GCA_016699635.1,CP064983.1.region005,CP064983,FALSE,2972102,3015231,arylpolyene,Others,1956,1956,1956
GCA_016699655.1,CP064986.1.region001,CP064986,FALSE,140821,160220,terpene,Terpene,1964,1964,1964
GCA_016699655.1,CP064986.1.region002,CP064986,FALSE,1638416,1682445,NRPS,NRPS,5484,1965,1965
GCA_016699655.1,CP064986.1.region003,CP064986,FALSE,3742421,3763513,terpene,Terpene,5486,5486,5486
GCA_016699675.1,CP064985.1.region001,CP064985,FALSE,960567,972154,RiPP-like,RiPPs,1958,1958,1958
GCA_016699675.1,CP064985.1.region002,CP064985,FALSE,1219025,1260784,NRPS-like,NRPS,1959,1959,1959
GCA_016699675.1,CP064985.1.region003,CP064985,FALSE,1705980,1727813,terpene,Terpene,1960,1960,1960
GCA_016699675.1,CP064985.1.region004,CP064985,FALSE,2621883,2650582,betalactone,Others,1961,1961,1961
GCA_016699675.1,CP064985.1.region005,CP064985,FALSE,3388004,3410728,lanthipeptide-class-iii,RiPPs,1962,1962,1962
GCA_016699675.1,CP064985.1.region006,CP064985,FALSE,3872434,3937257,hglE-KS;NAPAA,PKS-NRP_Hybrids,1963,1963,1963
GCA_016699695.1,CP065006.1.region001,CP065006,FALSE,570581,591418,terpene,Terpene,2010,2010,2010
GCA_016699695.1,CP065006.1.region002,CP065006,FALSE,1152515,1193544,T3PKS,PKSother,2011,2011,2011
GCA_016699695.1,CP065006.1.region003,CP065006,FALSE,1283954,1326426,NRPS-like,NRPS,2012,2012,2012
GCA_016699695.1,CP065006.1.region004,CP065006,FALSE,3413090,3423831,butyrolactone,Others,2013,2013,2013
GCA_016699695.1,CP065006.1.region005,CP065006,FALSE,3727232,3739422,RiPP-like,RiPPs,2014,2014,2014
GCA_016699715.1,CP065007.1.region001,CP065007,FALSE,500811,520005,RRE-containing,RiPPs,2015,2015,2015
GCA_016699715.1,CP065007.1.region002,CP065007,FALSE,649164,669530,RRE-containing,RiPPs,2016,2016,2016
GCA_016699715.1,CP065007.1.region003,CP065007,FALSE,1537538,1580394,NRPS-like,NRPS,2017,2017,2017
GCA_016699715.1,CP065007.1.region004,CP065007,FALSE,2005545,2037102,betalactone,Others,2018,2018,2423
GCA_016699715.1,CP065007.1.region005,CP065007,FALSE,2214849,2238543,lassopeptide,RiPPs,2019,2019,2019
GCA_016699715.1,CP065007.1.region006,CP065007,FALSE,3018598,3039468,terpene,Terpene,4414,4414,4414
GCA_016699715.1,CP065007.1.region007,CP065007,FALSE,3100678,3141875,arylpolyene,Others,2021,2021,2021
GCA_016699735.1,CP065008.1.region001,CP065008,FALSE,874706,885822,RiPP-like,RiPPs,2022,2022,2022
GCA_016699735.1,CP065008.1.region002,CP065008,FALSE,1139684,1150593,RiPP-like,RiPPs,2023,5522,5522
GCA_016699735.1,CP065008.1.region003,CP065008,FALSE,2112558,2133371,terpene,Terpene,5526,5526,5526
GCA_016699795.1,CP065011.1.region001,CP065011,FALSE,638274,659210,terpene,Terpene,2025,2025,2025
GCA_016699815.1,CP065012.1.region001,CP065012,FALSE,1336213,1357056,terpene,Terpene,4637,4637,4637
GCA_016699855.1,CP064988.1.region001,CP064988,FALSE,572887,593763,terpene,Terpene,1967,1967,1967
GCA_016699855.1,CP064988.1.region002,CP064988,FALSE,608027,617293,RiPP-like,RiPPs,1968,1968,1968
GCA_016699855.1,CP064988.1.region003,CP064988,FALSE,2327721,2355002,betalactone,Others,1969,1969,1969
GCA_016699855.1,CP064988.1.region004,CP064988,FALSE,2362668,2382935,RRE-containing,RiPPs,1970,1970,1970
GCA_016699855.1,CP064988.1.region005,CP064988,FALSE,3938094,3978943,phosphonate,Others,1971,1971,1971
GCA_016699855.1,CP064988.1.region006,CP064988,FALSE,4259661,4288258,betalactone,Others,1972,1972,1972
GCA_016699855.1,CP064988.1.region007,CP064988,FALSE,4908715,4919681,RiPP-like,RiPPs,1973,1973,1973
GCA_016699955.1,CP064993.1.region001,CP064993,FALSE,394593,416583,LAP,RiPPs,1974,1974,1974
GCA_016699975.1,CP064994.1.region001,CP064994,FALSE,217641,239191,LAP,RiPPs,1975,1975,1975
GCA_016700055.1,CP064997.1.region001,CP064997,FALSE,946846,971949,betalactone,Others,1976,1976,1976
GCA_016700055.1,CP064997.1.region002,CP064997,FALSE,1090307,1141076,NRPS-like;T1PKS,PKS-NRP_Hybrids,1977,1977,1977
GCA_016700055.1,CP064997.1.region003,CP064997,FALSE,1763962,1785057,terpene,Terpene,1978,1978,1978
GCA_016700055.1,CP064997.1.region004,CP064997,FALSE,2051746,2093246,other,Others,1979,1979,1979
GCA_016700055.1,CP064997.1.region005,CP064997,FALSE,2207687,2229080,ranthipeptide,RiPPs,1980,1980,1980
GCA_016700055.1,CP064997.1.region006,CP064997,FALSE,2901625,2946053,hglE-KS,PKSother,1981,1981,1981
GCA_016700075.1,CP065000.1.region001,CP065000,FALSE,777157,818382,NRPS-like,NRPS,1983,1983,1983
GCA_016700075.1,CP065000.1.region002,CP065000,FALSE,862363,883266,terpene,Terpene,3260,3260,3260
GCA_016700075.1,CP065000.1.region003,CP065000,FALSE,2921119,2965595,NRPS-like,NRPS,1985,2367,2367
GCA_016700095.1,CP065002.1.region001,CP065002,FALSE,395116,416007,terpene,Terpene,1992,1992,1992
GCA_016700115.1,CP064999.1.region001,CP064999,FALSE,3236364,3257201,terpene,Terpene,1982,1982,1982
GCA_016700135.1,CP065004.1.region001,CP065004,FALSE,410657,440311,LAP;RRE-containing,RiPPs,1999,1999,1999
GCA_016700135.1,CP065004.1.region002,CP065004,FALSE,848164,868902,terpene,Terpene,2000,2000,2000
GCA_016700155.1,CP065001.1.region001,CP065001,FALSE,60580,79805,terpene,Terpene,1986,1986,1986
GCA_016700155.1,CP065001.1.region002,CP065001,FALSE,1106514,1164077,NRPS;NRPS-like;T1PKS,PKS-NRP_Hybrids,1987,1987,1987
GCA_016700155.1,CP065001.1.region003,CP065001,FALSE,1718709,1740418,terpene,Terpene,1988,1988,1988
GCA_016700155.1,CP065001.1.region004,CP065001,FALSE,2704584,2724962,RRE-containing,RiPPs,1989,1989,1989
GCA_016700155.1,CP065001.1.region005,CP065001,FALSE,3102750,3143839,T3PKS,PKSother,1990,1990,1990
GCA_016700155.1,CP065001.1.region006,CP065001,FALSE,3282725,3336161,NRPS-like;T1PKS,PKS-NRP_Hybrids,1991,1991,1991
GCA_016700175.1,CP065003.1.region001,CP065003,FALSE,166304,208816,NRPS-like,NRPS,1993,1993,2367
GCA_016700175.1,CP065003.1.region002,CP065003,FALSE,731783,751148,RRE-containing,RiPPs,1994,1994,1994
GCA_016700175.1,CP065003.1.region003,CP065003,FALSE,786943,853861,lassopeptide;NRPS;NRPS-like;RRE-containing;T1PKS,Others,1995,1995,1995
GCA_016700175.1,CP065003.1.region004,CP065003,FALSE,1374118,1392453,terpene,Terpene,5238,5238,5238
GCA_016700175.1,CP065003.1.region005,CP065003,FALSE,2213566,2234718,terpene,Terpene,1997,1997,1997
GCA_016700175.1,CP065003.1.region006,CP065003,FALSE,4252023,4272566,RRE-containing,RiPPs,1998,1998,1998
GCA_016700195.1,CP065005.1.region001,CP065005,FALSE,368532,409581,NRPS-like,NRPS,2001,2001,4799
GCA_016700195.1,CP065005.1.region002,CP065005,FALSE,741655,756462,terpene,Terpene,4216,4216,4216
GCA_016700195.1,CP065005.1.region003,CP065005,FALSE,843865,863393,RRE-containing,RiPPs,2003,2003,2003
GCA_016700195.1,CP065005.1.region004,CP065005,FALSE,1366486,1393450,terpene,Terpene,2004,4798,4798
GCA_016700195.1,CP065005.1.region005,CP065005,FALSE,2137893,2148784,RiPP-like,RiPPs,2005,2005,4801
GCA_016700195.1,CP065005.1.region006,CP065005,FALSE,2185843,2225796,NRPS-like,NRPS,2006,4800,4800
GCA_016700195.1,CP065005.1.region007,CP065005,FALSE,2572980,2593430,RRE-containing,RiPPs,4803,4803,4803
GCA_016700195.1,CP065005.1.region008,CP065005,FALSE,3417037,3458295,NRPS-like,NRPS,2008,2008,2008
GCA_016700195.1,CP065005.1.region009,CP065005,FALSE,5228177,5270928,NRPS-like,NRPS,2009,2009,2009
GCA_016700335.1,CP065014.1.region001,CP065014,FALSE,525704,546176,terpene,Terpene,2027,2027,2027
GCA_016700335.1,CP065014.1.region002,CP065014,FALSE,1273554,1295369,terpene,Terpene,2028,2028,2028
GCA_016700415.1,CP065018.1.region001,CP065018,FALSE,1770177,1791020,terpene,Terpene,2686,2686,2686
GCA_016700415.1,CP065018.1.region002,CP065018,FALSE,2259694,2312069,arylpolyene;resorcinol,Others,4542,4542,4542
GCA_016700415.1,CP065018.1.region003,CP065018,FALSE,2566805,2627432,acyl_amino_acids;hserlactone,Others,2031,2031,2031
GCA_016700415.1,CP065018.1.region004,CP065018,FALSE,3708173,3758671,NRPS;NRPS-like;T1PKS,PKS-NRP_Hybrids,2684,2684,2684
GCA_016702305.1,JADJEH010000017.1.region001,JADJEH010000017,FALSE,183699,212542,betalactone,Others,3976,3976,3976
GCA_016702315.1,JADJEC010000001.1.region001,JADJEC010000001,FALSE,260226,281069,terpene,Terpene,2326,2326,4466
GCA_016702315.1,JADJEC010000005.1.region001,JADJEC010000005,FALSE,117634,168146,NRPS;NRPS-like;T1PKS,PKS-NRP_Hybrids,4467,4467,4467
GCA_016702325.1,JADJED010000001.1.region001,JADJED010000001,FALSE,226092,246905,terpene,Terpene,5526,5526,5526
GCA_016702325.1,JADJED010000001.1.region002,JADJED010000001,FALSE,1732256,1743372,RiPP-like,RiPPs,2022,2022,2022
GCA_016702325.1,JADJED010000001.1.region003,JADJED010000001,FALSE,1997233,2008142,RiPP-like,RiPPs,2023,5522,5522
GCA_016702335.1,JADJEF010000018.1.region001,JADJEF010000018,FALSE,528067,538946,RiPP-like,RiPPs,2722,2722,2722
GCA_016702335.1,JADJEF010000020.1.region001,JADJEF010000020,FALSE,817669,872782,hglE-KS,PKSother,2408,2408,2408
GCA_016702335.1,JADJEF010000020.1.region002,JADJEF010000020,FALSE,1532503,1552770,RRE-containing,RiPPs,2724,2724,2724
GCA_016702345.1,JADJEG010000048.1.region001,JADJEG010000048,FALSE,6780,47833,T3PKS,PKSother,2725,2725,3126
GCA_016702405.1,JADJDY010000001.1.region001,JADJDY010000001,FALSE,857942,964259,acyl_amino_acids;terpene,Others,5945,5945,5945
GCA_016702415.1,JADJEA010000001.1.region001,JADJEA010000001,FALSE,192213,246771,NRPS-like,NRPS,2690,2690,2690
GCA_016702415.1,JADJEA010000011.1.region001,JADJEA010000011,FALSE,106836,127130,RRE-containing,RiPPs,2691,2691,2691
GCA_016702415.1,JADJEA010000024.1.region001,JADJEA010000024,FALSE,202342,244301,hglE-KS,PKSother,2692,2692,2692
GCA_016702415.1,JADJEA010000029.1.region001,JADJEA010000029,FALSE,138559,149414,RiPP-like,RiPPs,2693,2693,2693
GCA_016702425.1,JADJDZ010000005.1.region001,JADJDZ010000005,FALSE,2473602,2494439,terpene,Terpene,5083,5083,5083
GCA_016702455.1,JADJEB010000001.1.region001,JADJEB010000001,FALSE,436923,480157,NRPS-like,NRPS,2694,2694,2694
GCA_016702455.1,JADJEB010000011.1.region001,JADJEB010000011,FALSE,136492,157329,terpene,Terpene,3539,3539,3539
GCA_016702455.1,JADJEB010000017.1.region001,JADJEB010000017,FALSE,67721,88597,terpene,Terpene,2696,3369,3369
GCA_016702475.1,JADJDX010000002.1.region001,JADJDX010000002,FALSE,1060920,1111418,NRPS;NRPS-like;T1PKS,PKS-NRP_Hybrids,2684,2684,2684
GCA_016702475.1,JADJDX010000005.1.region001,JADJDX010000005,FALSE,45935,98310,arylpolyene;resorcinol,Others,4542,4542,4542
GCA_016702475.1,JADJDX010000005.1.region002,JADJDX010000005,FALSE,568008,588851,terpene,Terpene,2686,2686,2686
GCA_016702475.1,JADJDX010000013.1.region001,JADJDX010000013,TRUE,0,19772,hserlactone,Others,2687,2687,2031
GCA_016702505.1,JADJDU010000001.1.region001,JADJDU010000001,FALSE,180960,226159,other,Others,2670,2670,2670
GCA_016702505.1,JADJDU010000003.1.region001,JADJDU010000003,TRUE,0,44996,hglE-KS;T1PKS,PKSother,2671,2671,2671
GCA_016702505.1,JADJDU010000004.1.region001,JADJDU010000004,FALSE,76634,97699,terpene,Terpene,2672,2672,2672
GCA_016702505.1,JADJDU010000007.1.region001,JADJDU010000007,FALSE,32735,53221,RRE-containing,RiPPs,2673,2673,2673
GCA_016702505.1,JADJDU010000011.1.region001,JADJDU010000011,FALSE,79683,100631,nucleoside,Others,2674,2674,2674
GCA_016702505.1,JADJDU010000014.1.region001,JADJDU010000014,TRUE,101821,130051,other,Others,2675,2675,2675
GCA_016702505.1,JADJDU010000030.1.region001,JADJDU010000030,FALSE,463217,505588,other,Others,2676,2676,2676
GCA_016702515.1,JADJDW010000009.1.region001,JADJDW010000009,FALSE,144082,201027,NRPS;NRPS-like,NRPS,2680,2288,2288
GCA_016702515.1,JADJDW010000012.1.region001,JADJDW010000012,FALSE,15552,36361,terpene,Terpene,2286,2286,2286
GCA_016702515.1,JADJDW010000013.1.region001,JADJDW010000013,FALSE,121464,143249,terpene,Terpene,2682,2682,2682
GCA_016702515.1,JADJDW010000027.1.region001,JADJDW010000027,FALSE,242074,283139,T3PKS,PKSother,2287,2683,2683
GCA_016702545.1,JADJDT010000002.1.region001,JADJDT010000002,FALSE,137147,169190,ranthipeptide,RiPPs,2659,2659,2659
GCA_016702545.1,JADJDT010000002.1.region002,JADJDT010000002,FALSE,204330,223680,terpene,Terpene,2660,2660,2660
GCA_016702545.1,JADJDT010000002.1.region003,JADJDT010000002,FALSE,295359,316436,terpene,Terpene,2661,2661,2661
GCA_016702545.1,JADJDT010000006.1.region001,JADJDT010000006,FALSE,151137,168331,RRE-containing,RiPPs,2662,2662,2662
GCA_016702545.1,JADJDT010000006.1.region002,JADJDT010000006,FALSE,177294,197810,RRE-containing,RiPPs,2663,2663,2663
GCA_016702545.1,JADJDT010000016.1.region001,JADJDT010000016,FALSE,21233,64218,NRPS-like,NRPS,2664,2664,2664
GCA_016702545.1,JADJDT010000017.1.region001,JADJDT010000017,FALSE,72872,113940,T3PKS,PKSother,2665,2665,2665
GCA_016702545.1,JADJDT010000020.1.region001,JADJDT010000020,TRUE,106329,120839,RRE-containing,RiPPs,2666,2666,2666
GCA_016702545.1,JADJDT010000023.1.region001,JADJDT010000023,FALSE,10131,51178,T3PKS,PKSother,2667,2667,2667
GCA_016702545.1,JADJDT010000043.1.region001,JADJDT010000043,FALSE,72968,93979,terpene,Terpene,2668,2668,2668
GCA_016702545.1,JADJDT010000044.1.region001,JADJDT010000044,FALSE,202650,243919,ladderane,Others,4379,4379,4379
GCA_016702555.1,JADJDV010000004.1.region001,JADJDV010000004,FALSE,174634,197638,terpene,Terpene,5072,5493,5493
GCA_016702555.1,JADJDV010000005.1.region001,JADJDV010000005,FALSE,210805,221504,RiPP-like,RiPPs,2678,2678,2678
GCA_016702555.1,JADJDV010000006.1.region001,JADJDV010000006,FALSE,69541,99759,betalactone,Others,5070,5070,5070
GCA_016702565.1,JADJDS010000009.1.region001,JADJDS010000009,FALSE,990255,1014713,lanthipeptide-class-i,RiPPs,2657,2657,2657
GCA_016702565.1,JADJDS010000011.1.region001,JADJDS010000011,FALSE,278886,299732,terpene,Terpene,3706,3706,3706
GCA_016702605.1,JADJDQ010000002.1.region001,JADJDQ010000002,FALSE,288701,310535,terpene,Terpene,2643,5493,5493
GCA_016702605.1,JADJDQ010000003.1.region001,JADJDQ010000003,FALSE,141520,168098,redox-cofactor,Others,2644,2644,2644
GCA_016702605.1,JADJDQ010000004.1.region001,JADJDQ010000004,FALSE,149218,191534,arylpolyene,Others,2645,2645,2645
GCA_016702605.1,JADJDQ010000004.1.region002,JADJDQ010000004,FALSE,334606,355650,terpene,Terpene,2646,2646,4962
GCA_016702605.1,JADJDQ010000021.1.region001,JADJDQ010000021,FALSE,167427,179335,RiPP-like,RiPPs,2647,2647,2647
GCA_016702615.1,JADJDR010000001.1.region001,JADJDR010000001,FALSE,155281,176466,terpene,Terpene,3422,3422,3422
GCA_016702615.1,JADJDR010000001.1.region002,JADJDR010000001,FALSE,388016,451861,hglE-KS;T3PKS,PKSother,3423,3423,3423
GCA_016702615.1,JADJDR010000001.1.region003,JADJDR010000001,FALSE,652727,695307,NRPS-like,NRPS,3895,3895,3895
GCA_016702615.1,JADJDR010000002.1.region001,JADJDR010000002,FALSE,1034334,1080742,T1PKS,PKSI,3428,3428,3428
GCA_016702615.1,JADJDR010000004.1.region001,JADJDR010000004,FALSE,51523,85426,"NAPAA;RiPP-like",Others,2652,2652,2652
GCA_016702615.1,JADJDR010000004.1.region002,JADJDR010000004,FALSE,269736,290717,terpene,Terpene,2653,2653,2653
GCA_016702615.1,JADJDR010000005.1.region001,JADJDR010000005,FALSE,399768,471545,NRPS;T1PKS,PKS-NRP_Hybrids,2654,2654,2654
GCA_016702615.1,JADJDR010000007.1.region001,JADJDR010000007,FALSE,159507,191838,redox-cofactor,Others,2655,2655,2655
GCA_016702615.1,JADJDR010000007.1.region002,JADJDR010000007,FALSE,346419,367394,nucleoside,Others,3901,3901,3901
GCA_016702645.1,JADJDP010000003.1.region001,JADJDP010000003,FALSE,287978,308743,terpene,Terpene,2641,2547,2547
GCA_016702645.1,JADJDP010000013.1.region001,JADJDP010000013,FALSE,14090,62670,NRPS;NRPS-like;T1PKS,PKS-NRP_Hybrids,2642,4467,4467
GCA_016702655.1,JADJDO010000001.1.region001,JADJDO010000001,FALSE,492591,503752,RiPP-like,RiPPs,2635,2635,2635
GCA_016702655.1,JADJDO010000001.1.region002,JADJDO010000001,FALSE,526571,549726,terpene,Terpene,3223,3953,6120
GCA_016702655.1,JADJDO010000002.1.region001,JADJDO010000002,FALSE,281315,332134,hglE-KS;T1PKS,PKSother,2637,2637,2637
GCA_016702655.1,JADJDO010000003.1.region001,JADJDO010000003,FALSE,277190,317652,arylpolyene,Others,2638,2638,2638
GCA_016702655.1,JADJDO010000009.1.region001,JADJDO010000009,FALSE,5672,16611,RiPP-like,RiPPs,2639,2639,2639
GCA_016702655.1,JADJDO010000010.1.region001,JADJDO010000010,TRUE,0,5579,RiPP-like,RiPPs,2922,2922,2922
GCA_016702675.1,JADJDN010000005.1.region001,JADJDN010000005,FALSE,282459,303293,terpene,Terpene,3678,3678,3678
GCA_016702675.1,JADJDN010000009.1.region001,JADJDN010000009,FALSE,165616,185868,RRE-containing,RiPPs,2203,2203,2203
GCA_016702675.1,JADJDN010000017.1.region001,JADJDN010000017,TRUE,36133,79146,arylpolyene,Others,2201,5481,6053
GCA_016702675.1,JADJDN010000027.1.region001,JADJDN010000027,FALSE,137227,178373,T3PKS,PKSother,2202,2202,2202
GCA_016702705.1,JADJDM010000018.1.region001,JADJDM010000018,FALSE,97915,118752,terpene,Terpene,2630,2630,2630
GCA_016702715.1,JADJDL010000001.1.region001,JADJDL010000001,FALSE,304105,324765,terpene,Terpene,5047,5047,5047
GCA_016702715.1,JADJDL010000001.1.region002,JADJDL010000001,FALSE,745955,766882,terpene,Terpene,2268,2268,2268
GCA_016702715.1,JADJDL010000002.1.region001,JADJDL010000002,FALSE,69444,89987,linaridin,RiPPs,5048,5048,5048
GCA_016702715.1,JADJDL010000017.1.region001,JADJDL010000017,FALSE,9155,38385,lassopeptide,RiPPs,3606,3606,3606
GCA_016702715.1,JADJDL010000017.1.region002,JADJDL010000017,FALSE,69294,90736,ranthipeptide,RiPPs,5046,5046,5046
GCA_016702745.1,JADJDJ010000004.1.region001,JADJDJ010000004,FALSE,173443,194280,terpene,Terpene,6143,6143,6143
GCA_016702745.1,JADJDJ010000005.1.region001,JADJDJ010000005,FALSE,140179,164618,lanthipeptide-class-i,RiPPs,2622,2622,2622
GCA_016702755.1,JADJDK010000002.1.region001,JADJDK010000002,FALSE,576092,596923,terpene,Terpene,5599,5599,4323
GCA_016702755.1,JADJDK010000003.1.region001,JADJDK010000003,FALSE,370698,381961,RiPP-like,RiPPs,2365,2365,2365
GCA_016702775.1,JADJDI010000006.1.region001,JADJDI010000006,FALSE,188157,228964,arylpolyene,Others,3099,3099,3099
GCA_016702775.1,JADJDI010000009.1.region001,JADJDI010000009,TRUE,159218,198089,arylpolyene;resorcinol,Others,3102,3102,3102
GCA_016702775.1,JADJDI010000013.1.region001,JADJDI010000013,TRUE,74182,115128,T3PKS,PKSother,3101,3101,3101
GCA_016702775.1,JADJDI010000026.1.region001,JADJDI010000026,FALSE,191600,232713,arylpolyene,Others,2620,2620,2620
GCA_016702805.1,JADJDH010000003.1.region001,JADJDH010000003,TRUE,0,17243,lassopeptide,RiPPs,2607,2607,2607
GCA_016702805.1,JADJDH010000005.1.region001,JADJDH010000005,FALSE,72077,124453,NRPS-like;T1PKS,PKS-NRP_Hybrids,2608,2608,2608
GCA_016702805.1,JADJDH010000006.1.region001,JADJDH010000006,FALSE,28632,50296,terpene,Terpene,2815,2815,5081
GCA_016702805.1,JADJDH010000008.1.region001,JADJDH010000008,FALSE,100609,111461,RiPP-like,RiPPs,3326,2168,3326
GCA_016702805.1,JADJDH010000009.1.region001,JADJDH010000009,TRUE,0,36885,NRPS-like,NRPS,2173,2173,2173
GCA_016702805.1,JADJDH010000016.1.region001,JADJDH010000016,TRUE,0,30753,NRPS-like,NRPS,2612,2612,2612
GCA_016702805.1,JADJDH010000017.1.region001,JADJDH010000017,FALSE,72229,92520,RRE-containing,RiPPs,2613,2613,2613
GCA_016702805.1,JADJDH010000018.1.region001,JADJDH010000018,TRUE,0,41290,NRPS-like,NRPS,2614,2614,2172
GCA_016702805.1,JADJDH010000020.1.region001,JADJDH010000020,TRUE,0,21045,NRPS-like,NRPS,2615,2615,2615
GCA_016702805.1,JADJDH010000038.1.region001,JADJDH010000038,FALSE,308153,350001,NRPS-like,NRPS,2166,2166,2166
GCA_016702815.1,JADJDG010000007.1.region001,JADJDG010000007,TRUE,0,10826,other,Others,2602,2602,2602
GCA_016702815.1,JADJDG010000012.1.region001,JADJDG010000012,FALSE,1000189,1022261,terpene,Terpene,2603,2603,2603
GCA_016702815.1,JADJDG010000014.1.region001,JADJDG010000014,FALSE,396283,418916,lassopeptide,RiPPs,4920,4920,4920
