genome_id,isolate,gtdb202_tax,n_bgcs,n_contigs,total_bp,longest_contig_bp,mean_contig_bp,completeness,contamination,circular,strain_heter0geneity,drep_95_cluster,drep_95_representative,drep_99_cluster
GCA_016716235.1,Kalu_18-Q3-R12-55_BAT3C.361,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__,NA,7,4139007,2313745,591286.7,93.64,2.91,TRUE,25,193_0,TRUE,193_0
GCA_016718485.1,OdNW_18-Q3-R42-56_BAT3C.33_sub,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__,5,82,6190382,406938,75492.5,93.64,2,TRUE,66.67,455_1,TRUE,455_2
GCA_016719785.1,Lyne_18-Q3-R50-59_BATAC.272,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__SSC4;g__SSC4;s__,NA,35,6591815,775720,188337.6,92.73,0.64,TRUE,0,455_1,TRUE,455_4
GCA_016718275.1,OdNW_18-Q3-R42-56_MAXAC.037,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,28,5057985,675312,180642.3,91.82,0.91,TRUE,0,187_1,TRUE,187_2
GCA_016722685.1,Skiv_18-Q3-R9-52_MAXAC.035,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,39,5410505,609633,138730.9,97.73,2.73,TRUE,66.67,187_1,TRUE,187_3
GCA_016721315.1,Skiv_18-Q3-R9-52_MAXAC.043,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,21,4491201,891559,213866.7,90,1.82,TRUE,0,189_1,TRUE,189_2
GCA_016721115.1,Skiv_18-Q3-R9-52_MAXAC.174,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA12294;s__,NA,2,5022719,4989941,2511359.5,99.09,1.09,TRUE,0,191_0,TRUE,191_0
GCA_016717045.1,Hirt_18-Q3-R61-65_MAXAC.030,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,40,4624418,612805,115610.5,94.44,2.73,TRUE,66.67,186_1,TRUE,186_3
GCA_016715195.1,Mari_18-Q3-R65-66_MAXAC.029,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,67,4335219,289836,64704.8,90.83,1.09,TRUE,0,186_1,TRUE,186_1
GCA_016714565.1,OdNW_18-Q3-R42-56_BATAC.378,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,4,41,4941904,542523,120534.2,96.06,4.55,TRUE,80,188_0,TRUE,188_0
GCA_016714625.1,OdNE_18-Q3-R46-58_MAXAC.047,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,47,5019946,533197,106807.4,91.82,2.3,TRUE,66.67,186_1,TRUE,186_2
GCA_016713335.1,Fred_18-Q3-R57-64_BATAC.359,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__;s__,NA,111,6824975,332278,61486.3,92.09,2.37,TRUE,0,421_0,TRUE,421_0
GCA_016705895.1,EsbE_18-Q3-R3-47_MAXAC.031_sub,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,45,5205816,783402,115684.8,91.82,2.22,TRUE,16.67,187_1,TRUE,187_1
GCA_016710365.1,Hjor_18-Q3-R7-51_MAXAC.079_sub,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__,NA,68,6608906,510391,97189.8,97.73,1.82,TRUE,0,422_0,TRUE,422_0
GCA_016709305.1,EsbW_18-Q3-R4-48_MAXAC.021,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,63,4851661,499611,77010.5,96.36,2.55,TRUE,57.14,185_1,TRUE,185_1
GCA_016709275.1,EsbW_18-Q3-R4-48_MAXAC.032,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,57,4296854,411600,75383.4,91.27,2.73,TRUE,66.67,189_1,TRUE,189_3
GCA_016711665.1,Hade_18-Q3-R52-61_MAXAC.042,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,1,85,5320940,273124,62599.3,97.27,4.73,TRUE,83.33,185_1,TRUE,185_2
GCA_016702885.1,Aved_18-Q3-R54-62_MAXAC.057_sub,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,2,30,4467787,573090,148926.2,91.82,4.55,TRUE,20,189_1,TRUE,189_1
GCA_016703605.1,Aved_18-Q3-R54-62_BAT3C.518,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__,NA,26,4437855,899950,170686.7,93.64,1.82,TRUE,0,190_0,TRUE,190_0
GCA_016718565.1,OdNW_18-Q3-R42-56_BAT3C.134_sub,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,NA,18,5216902,1568185,289827.9,98.71,0.32,TRUE,0,480_1,TRUE,480_1
GCA_016720265.1,Viby_18-Q3-R106-67_MAXAC.089,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,NA,21,5111239,649442,243392.3,98.06,3.87,TRUE,85.71,480_1,TRUE,480_1
GCA_016714225.1,EsbW_18-Q3-R4-48_MAXAC.252,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__;s__,NA,48,10134479,773192,211135,92.87,3.62,TRUE,0,488_0,TRUE,488_0
GCA_016705495.1,AalE_18-Q3-R2-46_BAT3C.204,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A,NA,27,1886931,546954,69886.3,98.17,2.24,TRUE,66.67,3_1,TRUE,3_1
GCA_016704125.1,AalW_18-Q3-R10-53_MAXAC.024,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A,NA,38,1997185,249333,52557.5,96.14,2.85,TRUE,44.44,3_1,TRUE,3_2
GCA_016703025.1,Aved_18-Q3-R54-62_BATAC.767,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UCB3;f__UCB3;g__;s__,NA,5,4347427,2918923,869485.4,94.95,2.14,TRUE,0,463_0,TRUE,463_0
GCA_016710785.1,Hirt_18-Q3-R61-65_BATAC.427,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UCB3;f__UCB3;g__;s__,NA,13,4924095,785493,378776.5,96.02,1.1,TRUE,0,307_1,TRUE,307_2
GCA_016709185.1,EsbW_18-Q3-R4-48_MAXAC.090,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UCB3;f__UCB3;g__;s__,NA,9,4929943,2070271,547771.4,93.27,1.1,TRUE,0,307_1,TRUE,307_1
GCA_016711265.1,Hirt_18-Q3-R61-65_BAT3C.202,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__,NA,6,3476358,1031341,579393,98.91,0,TRUE,0,551_1,TRUE,551_1
GCA_016706875.1,Ejby_18-Q3-R6-50_BAT3C.203,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__,NA,3,3529762,1615495,1176587.4,99.73,0.55,TRUE,100,551_1,TRUE,551_1
GCA_016719725.1,Lyne_18-Q3-R50-59_BATAC.420,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__,NA,6,3570960,3423476,595160,99.73,0.55,TRUE,0,551_1,TRUE,551_1
GCA_016699675.1,Fred_18-Q3-R57-64_BATAC.85v2,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__,NA,1,4314146,4314146,4314146,98.91,1.09,TRUE,0,552_0,TRUE,552_0
GCA_016719365.1,Lyne_18-Q3-R50-59_MAXAC.021,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__,NA,31,5055743,767308,163088.5,97.26,4.84,TRUE,50,298_1,TRUE,298_2
GCA_016714605.1,OdNW_18-Q3-R42-56_BATAC.352,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1715;g__;s__,NA,51,5037108,637176,98766.8,90.05,2.24,TRUE,42.86,130_0,TRUE,130_0
GCA_016715075.1,Mari_18-Q3-R65-66_MAXAC.219,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,NA,42,5355522,490773,127512.4,93.62,2.38,TRUE,12.5,51_1,TRUE,51_2
GCA_016706775.1,Ejby_18-Q3-R6-50_BAT3C.384,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__SR-FBR-E99;s__SR-FBR-E99 sp009881065,NA,20,3136521,617279,156826,95.24,2.38,TRUE,0,27_1,TRUE,27_1
GCA_016706185.1,EsbE_18-Q3-R3-47_BAT3C.210,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp012519515,NA,25,3454701,669614,138188,94.6,2.57,TRUE,62.5,23_0,TRUE,23_0
GCA_016706115.1,EsbE_18-Q3-R3-47_BATAC.189,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__SR-FBR-E99;s__SR-FBR-E99 sp009881065,NA,16,2898553,805868,181159.6,92.86,2.38,TRUE,11.11,27_1,TRUE,27_1
GCA_016705005.1,AalE_18-Q3-R2-46_MAXAC.025,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__,NA,46,5127966,961599,111477.5,97.31,3.23,TRUE,50,298_1,TRUE,298_1
GCA_016709425.1,EsbW_18-Q3-R4-48_BATAC.459,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,NA,34,5355578,1287609,157517,93.54,3.37,TRUE,13.33,51_1,TRUE,51_1
GCA_016709865.1,EsbW_18-Q3-R4-48_BAT3C.307,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,3,6,4481807,1938374,746967.8,99.52,1.9,TRUE,0,22_1,TRUE,22_2
GCA_016709025.1,Bjer_18-Q3-R1-45_BAT3C.220,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__,NA,47,6695176,414019,142450.5,97.85,4.84,TRUE,63.64,299_0,TRUE,299_0
GCA_016709055.1,Bjer_18-Q3-R1-45_BAT3C.178,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp001512885,NA,13,2219840,678575,170756.9,92.86,2.78,TRUE,14.29,36_0,TRUE,36_0
GCA_016708515.1,Bjer_18-Q3-R1-45_MAXAC.058_sub,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__,NA,72,4870134,368535,67640.8,90.68,1.61,TRUE,20,262_1,TRUE,262_1
GCA_016707705.1,Damh_18-Q3-R51-60_MAXAC.107,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__,NA,57,5092718,469109,89345.9,94.89,1.88,TRUE,20,263_0,TRUE,263_0
GCA_016707785.1,Damh_18-Q3-R51-60_MAXAC.084,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Cfx3-02;s__,NA,61,5142367,445199,84301.1,95.7,2.42,TRUE,33.33,262_1,TRUE,262_2
GCA_016708015.1,Damh_18-Q3-R51-60_BAT3C.434,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__,NA,26,4238693,438566,163026.7,97.46,4.05,TRUE,20,22_1,TRUE,22_1
GCA_016699635.1,Fred_18-Q3-R57-64_BAT3C.517,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__,NA,1,3254374,3254374,3254374,96.65,0.24,TRUE,0,25_0,TRUE,25_0
GCA_016699695.1,Lyne_18-Q3-R50-59_BAT3C.262,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__,NA,1,3966374,3966374,3966374,98.57,1.51,TRUE,0,18_0,TRUE,18_0
GCA_016703275.1,Aved_18-Q3-R54-62_BATAC.362,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__BACL12;g__;s__,NA,7,3657326,1162264,522475.2,94.48,0.49,TRUE,0,153_1,TRUE,153_2
GCA_016703655.1,Aved_18-Q3-R54-62_BAT3C.302,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__,3,45,4988809,689237,110862.4,95.93,3.33,TRUE,50,152_1,TRUE,152_7
