,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_003156895.1,GCA_003156895.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003170055.1,GCA_003170055.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003168405.1,GCA_003168405.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003157305.1,GCA_003157305.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003161685.1,GCA_003161685.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003162155.1,GCA_003162155.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003168475.1,GCA_003168475.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003170655.1,GCA_003170655.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003162365.1,GCA_003162365.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003156875.1,GCA_003156875.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_003158615.1,GCA_003158615.1,ncbi,Fen-1308 sp003170655,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp003170655,,
GCA_001871685.1,GCA_001871685.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002783085.1,GCA_002783085.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002782185.1,GCA_002782185.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002790755.1,GCA_002790755.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002780905.1,GCA_002780905.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_009993265.1,GCA_009993265.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002781345.1,GCA_002781345.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002771505.1,GCA_002771505.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_002323715.1,GCA_002323715.1,ncbi,UBA1546 sp001871685,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001871685,,
GCA_001918505.1,GCA_001918505.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001920515.1,GCA_001920515.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914545.1,GCA_001914545.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877575.1,GCA_005877575.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_005877605.1,GCA_005877605.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001914955.1,GCA_001914955.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_001918075.1,GCA_001918075.1,ncbi,40CM-3-62-11 sp001914955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11,sp001914955,,
GCA_002790775.1,GCA_002790775.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002780895.1,GCA_002780895.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002785245.1,GCA_002785245.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002782165.1,GCA_002782165.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_009993295.1,GCA_009993295.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_002787195.1,GCA_002787195.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_001873265.1,GCA_001873265.1,ncbi,0-14-3-00-41-53 sp002780895,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,0-14-3-00-41-53,sp002780895,,
GCA_005793845.1,GCA_005793845.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005788665.1,GCA_005788665.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_013521025.1,GCA_013521025.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_005798745.1,GCA_005798745.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_003569385.1,GCA_003569385.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002737345.1,GCA_002737345.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_014192195.1,GCA_014192195.1,ncbi,Palsa-1315 sp002737345,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002737345,,
GCA_002473245.1,GCA_002473245.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002299405.1,GCA_002299405.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002254325.1,GCA_002254325.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCF_900170025.1,GCF_900170025.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_002380995.1,GCA_002380995.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_003456185.1,GCA_003456185.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_005116935.1,GCA_005116935.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_001803925.1,GCA_001803925.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_003508715.1,GCA_003508715.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_003477265.1,GCA_003477265.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_001805025.1,GCA_001805025.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_001805235.1,GCA_001805235.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_001805205.1,GCA_001805205.1,ncbi,HDB-SIOI813 sp001805205,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,HDB-SIOI813,sp001805205,,
GCA_001803945.1,GCA_001803945.1,ncbi,UBA1546 sp001805105,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001805105,,
GCA_003510545.1,GCA_003510545.1,ncbi,UBA1546 sp001805105,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001805105,,
GCA_001805105.1,GCA_001805105.1,ncbi,UBA1546 sp001805105,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001805105,,
GCA_001803715.1,GCA_001803715.1,ncbi,UBA1546 sp001805105,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001805105,,
GCA_003500245.1,GCA_003500245.1,ncbi,UBA1546 sp001805105,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp001805105,,
GCA_009594935.1,GCA_009594935.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_009594835.1,GCA_009594835.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_009595005.1,GCA_009595005.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_002254365.1,GCA_002254365.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_902501035.1,GCA_902501035.1,ncbi,Nitrospira_F sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002254365,,
GCA_009842645.1,GCA_009842645.1,ncbi,Bin75 sp009842645,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009842645,,
GCA_009841415.1,GCA_009841415.1,ncbi,Bin75 sp009842645,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009842645,,
GCA_009836145.1,GCA_009836145.1,ncbi,Bin75 sp009842645,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009842645,,
GCA_009844615.1,GCA_009844615.1,ncbi,Bin75 sp009842645,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009842645,,
GCA_009843795.1,GCA_009843795.1,ncbi,Bin75 sp009842645,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009842645,,
GCA_003576955.1,GCA_003576955.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_011525815.1,GCA_011525815.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_900696565.1,GCA_900696565.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_001567445.1,GCA_001567445.1,ncbi,Nitrospira_A sp001567445,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp001567445,,
GCA_011051055.1,GCA_011051055.1,ncbi,BMS3Bbin05 sp002897855,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,sp002897855,,
GCA_002897815.1,GCA_002897815.1,ncbi,BMS3Bbin05 sp002897855,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,sp002897855,,
GCA_011043155.1,GCA_011043155.1,ncbi,BMS3Bbin05 sp002897855,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,sp002897855,,
GCA_002897855.1,GCA_002897855.1,ncbi,BMS3Bbin05 sp002897855,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,BMS3Bbin05,BMS3Bbin05,sp002897855,,
GCA_002376445.1,GCA_002376445.1,ncbi,JdFR-88 sp002011795,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-88,JdFR-88,sp002011795,,
GCA_002011795.1,GCA_002011795.1,ncbi,JdFR-88 sp002011795,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-88,JdFR-88,sp002011795,,
GCA_002376155.1,GCA_002376155.1,ncbi,JdFR-88 sp002011795,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-88,JdFR-88,sp002011795,,
GCA_002010755.1,GCA_002010755.1,ncbi,JdFR-88 sp002011795,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-88,JdFR-88,sp002011795,,
GCA_001803605.1,GCA_001803605.1,ncbi,GWB2-47-37 sp001803635,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,GWB2-47-37,sp001803635,,
GCA_003538695.1,GCA_003538695.1,ncbi,GWB2-47-37 sp001803635,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,GWB2-47-37,sp001803635,,
GCA_001803635.1,GCA_001803635.1,ncbi,GWB2-47-37 sp001803635,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,GWB2-47-37,sp001803635,,
GCA_003453275.1,GCA_003453275.1,ncbi,GWB2-47-37 sp001803635,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,GWB2-47-37,sp001803635,,
GCA_903843525.1,GCA_903843525.1,ncbi,Fen-1308 sp903822005,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp903822005,,
GCA_903823195.1,GCA_903823195.1,ncbi,Fen-1308 sp903822005,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp903822005,,
GCA_903926985.1,GCA_903926985.1,ncbi,Fen-1308 sp903822005,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp903822005,,
GCA_903822005.1,GCA_903822005.1,ncbi,Fen-1308 sp903822005,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,Fen-1308,sp903822005,,
GCA_009840285.1,GCA_009840285.1,ncbi,Bin75 sp009840285,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009840285,,
GCA_009842145.1,GCA_009842145.1,ncbi,Bin75 sp009840285,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009840285,,
GCA_009836985.1,GCA_009836985.1,ncbi,Bin75 sp009840285,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,sp009840285,,
GCA_011050745.1,GCA_011050745.1,ncbi,BMS3ABIN06 sp002897895,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,sp002897895,,
GCA_011040195.1,GCA_011040195.1,ncbi,BMS3ABIN06 sp002897895,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,sp002897895,,
GCA_002897895.1,GCA_002897895.1,ncbi,BMS3ABIN06 sp002897895,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,sp002897895,,
GCA_011087855.1,GCA_011087855.1,ncbi,JAALKI01 sp011088105,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,JAALKI01,sp011088105,,
GCA_011088105.1,GCA_011088105.1,ncbi,JAALKI01 sp011088105,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,JAALKI01,sp011088105,,
GCA_012103275.1,GCA_012103275.1,ncbi,JAALKI01 sp011088105,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,JAALKI01,sp011088105,,
GCA_003529185.1,GCA_003529185.1,ncbi,Nitrospira_F sp002420115,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002420115,,
GCA_002420115.1,GCA_002420115.1,ncbi,Nitrospira_F sp002420115,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002420115,,
GCA_002420045.1,GCA_002420045.1,ncbi,Nitrospira_F sp002420115,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002420115,,
GCA_002897775.1,GCA_002897775.1,ncbi,BMS3Bbin08 sp002897775,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,sp002897775,,
GCA_011040335.1,GCA_011040335.1,ncbi,BMS3Bbin08 sp002897775,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,sp002897775,,
GCA_002897755.1,GCA_002897755.1,ncbi,BMS3Bbin08 sp002897775,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,BMS3Bbin08,BMS3Bbin08,sp002897775,,
GCA_002451095.1,GCA_002451095.1,ncbi,UBA6902 sp002451135,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,sp002451135,,
GCA_002451135.1,GCA_002451135.1,ncbi,UBA6902 sp002451135,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,sp002451135,,
GCA_003508235.1,GCA_003508235.1,ncbi,UBA6902 sp002451135,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,sp002451135,,
GCF_000020985.1,GCF_000020985.1,ncbi,Thermodesulfovibrio yellowstonii,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,yellowstonii,,
GCF_000482825.1,GCF_000482825.1,ncbi,Thermodesulfovibrio yellowstonii,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,yellowstonii,,
GCF_006538445.1,GCF_006538445.1,ncbi,Thermodesulfovibrio yellowstonii,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,yellowstonii,,
GCA_002083355.1,GCA_002083355.1,ncbi,Nitrospira_F sp900696515,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp900696515,,
GCA_002483475.1,GCA_002483475.1,ncbi,Nitrospira_F sp900696515,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp900696515,,
GCA_900696515.1,GCA_900696515.1,ncbi,Nitrospira_F sp900696515,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp900696515,,
GCA_001803725.1,GCA_001803725.1,ncbi,GWC2-57-13 sp001805055,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,GWC2-57-13,sp001805055,,
GCA_001805055.1,GCA_001805055.1,ncbi,GWC2-57-13 sp001805055,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,GWC2-57-13,sp001805055,,
GCA_003483085.1,GCA_003483085.1,ncbi,GWC2-57-13 sp001805055,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,GWC2-57-13,sp001805055,,
GCA_009692155.1,GCA_009692155.1,ncbi,2-02-FULL-62-14 sp009692155,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,2-02-FULL-62-14,sp009692155,,
GCA_009692035.1,GCA_009692035.1,ncbi,2-02-FULL-62-14 sp009692155,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,2-02-FULL-62-14,sp009692155,,
GCA_003152135.1,GCA_003152135.1,ncbi,Palsa-1315 sp003135435,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp003135435,,
GCA_003135435.1,GCA_003135435.1,ncbi,Palsa-1315 sp003135435,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp003135435,,
GCA_002435405.1,GCA_002435405.1,ncbi,Nitrospira_D sp002435325,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002435325,,
GCA_002435325.1,GCA_002435325.1,ncbi,Nitrospira_D sp002435325,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002435325,,
GCA_001805245.1,GCA_001805245.1,ncbi,2-02-FULL-62-14 sp001805245,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,2-02-FULL-62-14,sp001805245,,
GCA_001805225.1,GCA_001805225.1,ncbi,2-02-FULL-62-14 sp001805245,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,2-02-FULL-62-14,sp001805245,,
GCA_001312085.1,GCA_001312085.1,ncbi,Thermodesulfovibrio aggregans,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,aggregans,,
GCF_001514535.1,GCF_001514535.1,ncbi,Thermodesulfovibrio aggregans,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,aggregans,,
GCA_013141205.1,GCA_013141205.1,ncbi,Nitrospira_F sp005116965,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116965,,
GCA_005116965.1,GCA_005116965.1,ncbi,Nitrospira_F sp005116965,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116965,,
GCA_005116825.1,GCA_005116825.1,ncbi,Palsa-1315 sp002869885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869885,,
