,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_005116825.1,GCA_005116825.1,ncbi,Palsa-1315 sp002869885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869885,,
GCA_002869885.2,GCA_002869885.2,ncbi,Palsa-1315 sp002869885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869885,,
GCA_009594875.1,GCA_009594875.1,ncbi,Nitrospira_A defluvii_A,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,defluvii_A,,
GCA_013140535.1,GCA_013140535.1,ncbi,Palsa-1315 sp005116835,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116835,,
GCA_005116835.1,GCA_005116835.1,ncbi,Palsa-1315 sp005116835,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116835,,
GCA_902500795.1,GCA_902500795.1,ncbi,Nitrospira_F sp902500705,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500705,,
GCA_902500705.1,GCA_902500705.1,ncbi,Nitrospira_F sp902500705,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500705,,
GCA_002869855.2,GCA_002869855.2,ncbi,Nitrospira_D sp002869855,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002869855,,
GCA_005116865.1,GCA_005116865.1,ncbi,Nitrospira_D sp002869855,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002869855,,
GCA_009594945.1,GCA_009594945.1,ncbi,Nitrospira_A sp014055465,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp014055465,,
GCA_014055465.1,GCA_014055465.1,ncbi,Nitrospira_A sp014055465,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp014055465,,
GCF_001458735.1,GCF_001458735.1,ncbi,Nitrospira_F nitrosa,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,nitrosa,,
GCA_009594825.1,GCA_009594825.1,ncbi,Nitrospira_F nitrosa,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,nitrosa,,
GCA_011525625.1,GCA_011525625.1,ncbi,Nitrospira_A sp003456605,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp003456605,,
GCA_003456605.1,GCA_003456605.1,ncbi,Nitrospira_A sp003456605,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp003456605,,
GCA_002451055.1,GCA_002451055.1,ncbi,Nitrospira_F sp002451055,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002451055,,
GCA_005799365.1,GCA_005799365.1,ncbi,SYGV01 sp005799365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SYGV01,sp005799365,,
GCA_012032965.1,GCA_012032965.1,ncbi,Nitrospira_F sp012032965,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp012032965,,
GCA_013696305.1,GCA_013696305.1,ncbi,Nitrospira_A sp013696305,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp013696305,,
GCA_902500805.1,GCA_902500805.1,ncbi,Nitrospira_F sp902500805,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500805,,
GCA_005239465.1,GCA_005239465.1,ncbi,Nitrospira_F sp005239465,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005239465,,
GCA_013388555.1,GCA_013388555.1,ncbi,Palsa-1315 sp013388555,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013388555,,
GCA_005116885.1,GCA_005116885.1,ncbi,Palsa-1315 sp005116885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116885,,
GCA_005116895.1,GCA_005116895.1,ncbi,Nitrospira_F sp005116895,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116895,,
GCA_005887945.1,GCA_005887945.1,ncbi,Palsa-1315 sp005887945,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005887945,,
GCA_014055495.1,GCA_014055495.1,ncbi,Nitrospira_A sp014055495,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp014055495,,
GCA_005877535.1,GCA_005877535.1,ncbi,Palsa-1315 sp005877535,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005877535,,
GCF_011405515.1,GCF_011405515.1,ncbi,Nitrospira_C sp011405515,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp011405515,,
GCA_002083365.1,GCA_002083365.1,ncbi,Nitrospira_F sp002083365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083365,,
GCA_002869845.2,GCA_002869845.2,ncbi,Nitrospira_F sp002869845,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002869845,,
GCA_005239475.1,GCA_005239475.1,ncbi,Palsa-1315 sp005239475,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005239475,,
GCA_009594855.1,GCA_009594855.1,ncbi,Nitrospira_A sp009594855,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594855,,
GCA_002083405.1,GCA_002083405.1,ncbi,Nitrospira_F sp002083405,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083405,,
GCA_005116745.1,GCA_005116745.1,ncbi,Nitrospira_F sp005116745,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116745,,
GCA_002331625.1,GCA_002331625.1,ncbi,Nitrospira_F sp002331625,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002331625,,
GCA_900299245.1,GCA_900299245.1,ncbi,Nitrospira_D sp900299245,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp900299245,,
GCA_005116955.1,GCA_005116955.1,ncbi,Nitrospira_F sp005116955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116955,,
GCA_013140455.1,GCA_013140455.1,ncbi,Nitrospira_D sp013140455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp013140455,,
GCA_013141215.1,GCA_013141215.1,ncbi,Palsa-1315 sp013141215,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013141215,,
GCF_001273775.1,GCF_001273775.1,ncbi,Nitrospira_E moscoviensis,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_E,moscoviensis,,
GCA_002331335.1,GCA_002331335.1,ncbi,Nitrospira_F sp002331335,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002331335,,
GCA_005877775.1,GCA_005877775.1,ncbi,NS-7 sp005877775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,NS-7,sp005877775,,
GCA_004296865.1,GCA_004296865.1,ncbi,SCVQ01 sp004296865,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SCVQ01,sp004296865,,
GCA_005116945.1,GCA_005116945.1,ncbi,Palsa-1315 sp005116945,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116945,,
GCA_011054545.1,GCA_011054545.1,ncbi,DSOU01 sp011054545,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,DSOU01,sp011054545,,
GCA_005116815.1,GCA_005116815.1,ncbi,Palsa-1315 sp005116815,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116815,,
GCA_902500785.1,GCA_902500785.1,ncbi,Nitrospira_A sp902500785,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500785,,
GCA_005116775.1,GCA_005116775.1,ncbi,Palsa-1315 sp005116775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116775,,
GCA_005116795.1,GCA_005116795.1,ncbi,RSF151 sp005116795,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,RSF151,sp005116795,,
GCA_012030925.1,GCA_012030925.1,ncbi,Nitrospira_F sp012030925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp012030925,,
GCA_902500745.1,GCA_902500745.1,ncbi,Nitrospira_F sp902500745,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500745,,
GCA_011090425.1,GCA_011090425.1,ncbi,Nitrospira_F sp011090425,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp011090425,,
GCA_013140715.1,GCA_013140715.1,ncbi,Palsa-1315 sp013140715,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013140715,,
GCA_002869895.2,GCA_002869895.2,ncbi,Palsa-1315 sp002869895,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869895,,
GCA_005800255.1,GCA_005800255.1,ncbi,Palsa-1315 sp005800255,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005800255,,
GCA_900696505.1,GCA_900696505.1,ncbi,Nitrospira_A sp900696505,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900696505,,
GCA_002083565.1,GCA_002083565.1,ncbi,Nitrospira_F sp002083565,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083565,,
GCA_002420105.1,GCA_002420105.1,ncbi,Nitrospira_C sp002420105,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp002420105,,
GCA_009885705.1,GCA_009885705.1,ncbi,Palsa-1315 sp009885705,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp009885705,,
GCF_001458695.1,GCF_001458695.1,ncbi,Nitrospira_F inopinata,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,inopinata,,
GCA_002869925.2,GCA_002869925.2,ncbi,Palsa-1315 sp002869925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp002869925,,
GCA_004296885.1,GCA_004296885.1,ncbi,SYGV01 sp004296885,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SYGV01,sp004296885,,
GCA_014058405.1,GCA_014058405.1,ncbi,Nitrospira_F kreftii,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,kreftii,,
GCA_902500995.1,GCA_902500995.1,ncbi,Nitrospira_A sp902500995,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500995,,
GCA_009594995.1,GCA_009594995.1,ncbi,Nitrospira_A sp009594995,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594995,,
GCA_005793285.1,GCA_005793285.1,ncbi,Nitrospira_F sp005793285,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005793285,,
GCA_900299325.1,GCA_900299325.1,ncbi,OMJK01 sp900299325,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,OMJK01,sp900299325,,
GCA_902500755.1,GCA_902500755.1,ncbi,Nitrospira_F sp902500755,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500755,,
GCF_900403705.1,GCF_900403705.1,ncbi,Nitrospira_D lenta,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,lenta,,
GCA_009594865.1,GCA_009594865.1,ncbi,Nitrospira_A sp009594865,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594865,,
GCF_001458775.1,GCF_001458775.1,ncbi,Nitrospira_F nitrificans,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,nitrificans,,
GCA_014534095.1,GCA_014534095.1,ncbi,Nitrospira_D sp014534095,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp014534095,,
GCA_014055525.1,GCA_014055525.1,ncbi,Nitrospira_C sp014055525,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,sp014055525,,
GCA_902500715.1,GCA_902500715.1,ncbi,Nitrospira_A sp902500715,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp902500715,,
GCF_900169565.1,GCF_900169565.1,ncbi,Nitrospira_C japonica,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_C,japonica,,
GCA_011331925.1,GCA_011331925.1,ncbi,Nitrospira_F sp011331925,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp011331925,,
GCA_002083555.1,GCA_002083555.1,ncbi,Nitrospira_D sp002083555,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp002083555,,
GCA_011391455.1,GCA_011391455.1,ncbi,Palsa-1315 sp011391455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp011391455,,
GCA_902500825.1,GCA_902500825.1,ncbi,Nitrospira_F sp902500825,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500825,,
GCA_902500775.1,GCA_902500775.1,ncbi,Nitrospira_F sp902500775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp902500775,,
GCA_014379455.1,GCA_014379455.1,ncbi,Palsa-1315 sp014379455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp014379455,,
GCA_016706135.1,GCA_016706135.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016709365.1,GCA_016709365.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016712165.1,GCA_016712165.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
GCA_016711755.1,GCA_016711755.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016715825.1,GCA_016715825.1,ncbi,,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,,,
GCA_016719745.1,GCA_016719745.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722315.1,GCA_016722315.1,ncbi,Nitrospira_A sp900170025,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp900170025,,
GCA_016722055.1,GCA_016722055.1,ncbi,Nitrospira sp002254365,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,sp002254365,,
